tipo_celular,module_size,RPSA_MM,RPSA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.316,96.0,97,2,2.06,5.16 (NA-NA),95,97.94,3.03 (2.63-3.42),2.43,4.96
T cells 18,506.0,0.498,94.0,225,41,18.22,3.24 (2.70-3.78),184,81.78,3.71 (3.43-3.99),22.23,4.71
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.211,73.0,164,4,2.44,3.67 (2.04-5.30),160,97.56,4.10 (3.76-4.43),6.34,7.56
GABA neurons expressing GLU receptors 22,487.0,0.165,27.0,73,19,26.03,3.27 (2.51-4.03),54,73.97,2.53 (2.10-2.96),10.56,6.19
GLU like neurons 17,685.0,0.135,54.0,135,30,22.22,2.28 (1.80-2.76),105,77.78,3.46 (3.11-3.81),6.28,3.02
da like neurons 11,1220.0,0.2,57.0,410,29,7.07,3.35 (2.85-3.84),381,92.93,4.33 (4.13-4.52),16.02,6.87
GABA neurons expressing GABA receptors 13,417.0,0.176,59.0,213,50,23.47,2.62 (2.14-3.11),163,76.53,4.18 (3.93-4.43),11.59,9.10
endothelial cells 9,916.0,0.406,85.0,302,17,5.63,3.62 (2.71-4.54),285,94.37,4.01 (3.77-4.24),29.44,9.53
oligodendrocytes 20,938.0,0.27,92.0,169,29,17.16,3.46 (2.83-4.10),140,82.84,3.48 (3.25-3.71),13.01,3.78
GABA like neurons 14,2402.0,0.601,95.0,455,56,12.31,2.74 (2.26-3.22),399,87.69,4.62 (4.43-4.80),21.51,7.06
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.296,92.0,235,24,10.21,3.90 (3.30-4.51),211,89.79,3.81 (3.56-4.06),21.87,5.99
oligodendrocytes 10,483.0,0.499,97.0,129,21,16.28,4.32 (3.77-4.86),108,83.72,3.22 (2.76-3.67),30.06,17.08
connective tissue cells 21,301.0,0.528,83.0,158,22,13.92,3.37 (2.62-4.13),136,86.08,4.46 (4.05-4.86),25.30,4.12
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,71.0,0.159,33.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,729.0,0.247,88.0,182,24,13.19,3.33 (2.66-4.00),158,86.81,3.69 (3.42-3.96),22.97,6.33
astrocytes microglia 23,41.0,0.355,58.0,3,0,0.0,NA,3,100.0,NA,NA,1.65
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.287,87.0,252,50,19.84,2.69 (2.19-3.18),202,80.16,4.52 (4.27-4.77),20.88,5.07
microglia 1,406.0,0.377,75.0,278,14,5.04,4.24 (3.56-4.92),264,94.96,4.37 (4.08-4.66),37.81,5.09
oligodendrocytes 3,303.0,0.216,77.0,154,15,9.74,4.22 (3.49-4.95),139,90.26,3.55 (3.20-3.89),42.60,8.52
oligodendrocytes 2,526.0,0.472,91.0,213,13,6.1,4.16 (3.43-4.88),200,93.9,3.97 (3.68-4.26),33.49,6.28
