tipo_celular,module_size,ZNF69_MM,ZNF69_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.229,64.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.133,79.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57),7.46,4.87
oligodendrocyte progenitor cells 7,4285.0,0.161,87.0,353,36,10.2,2.13 (1.81-2.44),317,89.8,4.16 (3.97-4.35),12.30,7.58
GABA neurons expressing GLU receptors 22,714.0,0.225,71.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,229.0,0.167,30.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,853.0,0.135,53.0,133,43,32.33,2.50 (2.17-2.84),90,67.67,3.72 (3.29-4.14),5.20,3.67
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.242,93.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60),3.24,12.34
astrocytes 8,1266.0,0.036,4.0,66,5,7.58,2.29 (0.88-3.69),61,92.42,3.32 (2.88-3.75),2.81,2.96
oligodendrocyte progenitor cells 12,3303.0,0.04,7.0,276,30,10.87,1.78 (1.53-2.02),246,89.13,3.82 (3.60-4.05),6.64,4.92
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,111.0,0.34,77.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.047,11.0,105,13,12.38,1.36 (0.97-1.76),92,87.62,3.50 (3.16-3.84),4.86,3.85
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,109.0,0.269,22.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.168,88.0,104,16,15.38,1.36 (1.08-1.64),88,84.62,3.16 (2.87-3.45),6.81,5.14
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.124,70.0,161,33,20.5,2.05 (1.72-2.37),128,79.5,3.68 (3.38-3.98),5.31,5.46
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
