tipo_celular,module_size,TMEM59_MM,TMEM59_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.195,55.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,518,0.113,21.0,131,1,0.76,4.95 (NA-NA),130,99.24,3.06 (2.78-3.33),2.02,4.78
astrocytes 5,1656,0.094,19.0,136,5,3.68,2.32 (1.38-3.26),131,96.32,3.25 (2.97-3.52),6.53,4.93
oligodendrocyte progenitor cells 7,628,0.225,77.0,164,9,5.49,4.08 (3.65-4.50),155,94.51,4.09 (3.73-4.44),4.76,7.69
GABA neurons expressing GLU receptors 22,848,0.186,41.0,262,23,8.78,3.56 (2.79-4.33),239,91.22,4.23 (3.97-4.49),8.40,3.69
GLU like neurons 17,1316,0.154,74.0,101,5,4.95,4.96 (3.53-6.40),96,95.05,2.92 (2.58-3.27),3.91,3.01
da like neurons 11,1220,0.193,55.0,410,30,7.32,3.98 (3.41-4.55),380,92.68,4.27 (4.08-4.47),14.05,7.00
GABA neurons expressing GABA receptors 13,357,0.105,18.0,237,8,3.38,5.02 (4.20-5.85),229,96.62,4.38 (4.14-4.62),3.81,4.20
endothelial cells 9,916,0.186,43.0,302,8,2.65,3.13 (2.21-4.05),294,97.35,4.01 (3.78-4.24),7.76,10.73
oligodendrocytes 20,938,0.309,95.0,169,20,11.83,2.80 (2.19-3.40),149,88.17,3.57 (3.34-3.80),7.97,5.01
GABA like neurons 14,2402,0.347,73.0,455,43,9.45,3.14 (2.54-3.74),412,90.55,4.50 (4.32-4.69),19.41,7.73
astrocytes 8,771,0.103,43.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708,0.312,86.0,32,11,34.38,1.89 (1.03-2.76),21,65.62,4.12 (3.10-5.14),3.31,2.22
oligodendrocytes 10,735,0.152,76.0,277,2,0.72,5.17 (2.58-7.76),275,99.28,3.88 (3.64-4.12),2.64,8.99
connective tissue cells 21,142,0.306,43.0,55,7,12.73,1.77 (0.55-2.99),48,87.27,3.96 (3.02-4.91),2.78,3.36
astrocytes 15,1401,0.111,71.0,96,7,7.29,3.48 (1.89-5.08),89,92.71,3.62 (3.15-4.10),2.43,3.90
oligodendrocytes 16,91,0.112,3.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,5.09
da neurons 6,409,0.154,64.0,235,10,4.26,4.02 (2.82-5.22),225,95.74,3.97 (3.72-4.23),3.75,4.44
astrocytes microglia 23,46,0.345,58.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.173,87.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,546,0.152,40.0,252,31,12.3,2.63 (1.93-3.33),221,87.7,4.33 (4.08-4.58),14.28,7.36
microglia 1,214,0.097,13.0,227,14,6.17,4.01 (3.72-4.31),213,93.83,4.10 (3.85-4.35),11.84,5.74
oligodendrocytes 3,242,0.081,18.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,526,0.343,74.0,213,1,0.47,3.85 (NA-NA),212,99.53,3.98 (3.70-4.26),1.40,7.97
