tipo_celular,module_size,PDE7B_MM,PDE7B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.355,91.0,98,1,1.02,0.79 (NA-NA),97,98.98,4.65 (4.24-5.05),1.51,2.66
oligodendrocyte progenitor cells 7,436.0,0.233,92.0,219,6,2.74,4.88 (4.62-5.14),213,97.26,5.22 (4.93-5.52),9.33,4.48
GABA neurons expressing GLU receptors 22,599.0,0.427,98.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,489.0,0.278,88.0,42,4,9.52,5.01 (4.99-5.03),38,90.48,6.14 (5.52-6.77),2.92,3.24
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.683,99.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.163,57.0,74,2,2.7,2.53 (NA-NA),72,97.3,2.95 (2.57-3.33),3.72,10.69
astrocytes 8,262.0,0.34,97.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,254.0,0.403,85.0,37,2,5.41,2.42 (2.37-2.47),35,94.59,4.64 (4.06-5.22),1.70,2.52
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,114.0,0.324,76.0,19,3,15.79,3.12 (1.99-4.25),16,84.21,5.13 (4.42-5.85),1.87,2.16
astrocytes 15,418.0,0.5,91.0,54,1,1.85,3.70 (NA-NA),53,98.15,3.68 (3.23-4.13),2.44,3.02
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,122.0,0.382,84.0,46,3,6.52,5.02 (5.02-5.02),43,93.48,5.03 (4.43-5.63),1.48,3.33
astrocytes 4,201.0,0.169,47.0,18,2,11.11,3.70 (NA-NA),16,88.89,4.59 (3.66-5.53),2.32,3.19
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
