tipo_celular,module_size,CACNA2D3_MM,CACNA2D3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.376,95.0,98,2,2.04,3.27 (2.11-4.44),96,97.96,4.63 (4.22-5.04),2.27,2.66
oligodendrocyte progenitor cells 7,436.0,0.214,87.0,219,20,9.13,3.89 (3.51-4.27),199,90.87,5.41 (5.10-5.72),3.79,4.69
GABA neurons expressing GLU receptors 22,1069.0,0.29,99.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247.0,0.191,80.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,191.0,0.188,35.0,93,10,10.75,3.89 (2.92-4.85),83,89.25,5.91 (5.51-6.31),4.04,4.15
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.395,80.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.187,41.0,306,23,7.52,3.58 (3.13-4.03),283,92.48,5.27 (4.99-5.55),3.90,6.93
astrocytes 8,354.0,0.246,96.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,411.0,0.41,90.0,103,10,9.71,4.14 (3.73-4.56),93,90.29,5.73 (5.31-6.14),2.48,3.15
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,77.0,0.258,39.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60),NA,3.00
astrocytes 15,418.0,0.479,89.0,54,9,16.67,2.42 (2.13-2.70),45,83.33,3.97 (3.48-4.47),4.15,2.79
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,166.0,0.262,39.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36),2.59,5.26
astrocytes 4,255.0,0.221,77.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
