tipo_celular,module_size,TOMM7_MM,TOMM7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.438,82.0,98,3,3.06,0.88 (0.45-1.30),95,96.94,3.32 (2.84-3.79),7.91,13.63
T cells 18,506.0,0.318,78.0,225,13,5.78,2.72 (1.72-3.72),212,94.22,3.69 (3.43-3.94),3.32,8.18
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.298,90.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,487.0,0.42,95.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.282,77.0,410,43,10.49,4.01 (3.49-4.53),367,89.51,4.29 (4.09-4.49),9.48,7.28
GABA neurons expressing GABA receptors 13,417.0,0.308,96.0,213,22,10.33,1.73 (1.19-2.26),191,89.67,4.07 (3.84-4.31),12.47,9.36
endothelial cells 9,916.0,0.509,92.0,302,13,4.3,2.67 (1.86-3.48),289,95.7,4.06 (3.83-4.29),15.06,10.45
oligodendrocytes 20,938.0,0.239,89.0,169,16,9.47,2.62 (1.97-3.27),153,90.53,3.59 (3.37-3.82),3.73,5.53
GABA like neurons 14,2402.0,0.603,95.0,455,45,9.89,3.56 (2.99-4.14),410,90.11,4.47 (4.27-4.66),17.70,7.86
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.385,95.0,235,9,3.83,3.92 (2.93-4.91),226,96.17,3.82 (3.58-4.06),4.46,7.74
oligodendrocytes 10,483.0,0.185,70.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,301.0,0.405,57.0,158,3,1.9,2.16 (-0.77-5.09),155,98.1,4.31 (3.95-4.68),6.66,7.08
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,96.0,0.357,96.0,102,8,7.84,1.49 (0.98-1.99),94,92.16,3.54 (3.21-3.87),4.23,7.96
da neurons 6,729.0,0.297,95.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89),NA,8.52
astrocytes microglia 23,96.0,0.3,37.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.192,63.0,252,24,9.52,2.60 (1.77-3.42),228,90.48,4.31 (4.06-4.55),9.49,8.08
microglia 1,406.0,0.348,73.0,278,2,0.72,2.76 (2.46-3.07),276,99.28,4.38 (4.10-4.65),1.88,6.77
oligodendrocytes 3,303.0,0.196,69.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.35,75.0,213,7,3.29,3.68 (2.79-4.57),206,96.71,3.99 (3.71-4.28),6.53,7.98
