tipo_celular,module_size,SUCLG2_MM,SUCLG2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.176,58.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,388.0,0.194,70.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,1141.0,0.117,30.0,166,11,6.63,1.57 (0.96-2.17),155,93.37,3.55 (3.30-3.80),7.57,4.34
oligodendrocyte progenitor cells 7,4285.0,0.145,65.0,353,22,6.23,1.57 (1.04-2.10),331,93.77,4.09 (3.92-4.27),35.72,6.23
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,380.0,0.324,99.0,39,1,2.56,1.71 (NA-NA),38,97.44,3.00 (2.44-3.56),2.61,2.57
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.163,75.0,297,2,0.67,3.93 (1.18-6.69),295,99.33,3.67 (3.47-3.88),3.80,5.53
oligodendrocytes 20,295.0,0.203,55.0,28,1,3.57,1.43 (NA-NA),27,96.43,2.22 (1.75-2.70),1.95,3.11
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,354.0,0.238,94.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303.0,0.106,80.0,276,18,6.52,2.28 (1.67-2.89),258,93.48,3.65 (3.43-3.88),14.37,4.46
oligodendrocytes 10,2107.0,0.156,54.0,358,20,5.59,1.48 (0.91-2.04),338,94.41,4.05 (3.87-4.24),37.43,7.82
connective tissue cells 21,78.0,0.21,28.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,367.0,0.154,56.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,107.0,0.217,49.0,11,1,9.09,0.52 (NA-NA),10,90.91,1.58 (0.87-2.29),3.11,3.61
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,253.0,0.148,2.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22),2.72,3.09
astrocytes 4,752.0,0.158,57.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,479.0,0.139,39.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,813.0,0.142,74.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,1003.0,0.12,71.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804.0,0.135,30.0,84,5,5.95,1.06 (0.30-1.82),79,94.05,2.82 (2.48-3.16),3.37,3.40
