tipo_celular,module_size,MID1_MM,MID1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.118,28.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,666.0,0.17,54.0,127,17,13.39,2.40 (1.89-2.90),110,86.61,4.14 (3.78-4.49),4.47,6.05
GABA neurons expressing GLU receptors 22,459.0,0.082,11.0,165,11,6.67,2.29 (1.71-2.86),154,93.33,5.36 (5.03-5.69),4.39,4.07
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,209.0,0.112,16.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.211,54.0,120,17,14.17,2.92 (2.54-3.29),103,85.83,4.91 (4.58-5.24),5.54,3.34
oligodendrocytes 20,271.0,0.707,100.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,3052.0,0.107,23.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67),4.98,8.70
astrocytes 8,577.0,0.088,52.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74),1.30,4.51
oligodendrocyte progenitor cells 12,3303.0,0.087,60.0,276,20,7.25,2.21 (1.58-2.85),256,92.75,3.64 (3.42-3.87),5.80,5.06
oligodendrocytes 10,1277.0,0.077,29.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,183.0,0.336,72.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86),1.48,2.71
astrocytes 15,377.0,0.26,94.0,14,8,57.14,2.56 (0.73-4.39),6,42.86,1.50 (-0.04-3.05),2.98,1.75
oligodendrocytes 16,91.0,0.245,77.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,5.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,96.0,0.239,7.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03),NA,5.42
astrocytes 4,514.0,0.147,26.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92),3.45,4.69
oligodendrocytes 0,1186.0,0.098,4.0,300,10,3.33,3.52 (3.20-3.84),290,96.67,3.80 (3.59-4.02),5.13,4.12
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.086,42.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13),2.83,1.91
oligodendrocytes 2,237.0,0.1,2.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
