tipo_celular,module_size,RNF170_MM,RNF170_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.186,51.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.117,62.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.128,38.0,353,34,9.63,2.13 (1.57-2.69),319,90.37,4.09 (3.91-4.27),22.22,6.56
GABA neurons expressing GLU receptors 22,400.0,0.201,53.0,24,8,33.33,0.85 (0.39-1.30),16,66.67,2.81 (2.34-3.28),5.81,2.47
GLU like neurons 17,1247.0,0.052,3.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,197.0,0.132,23.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,80.0,0.187,68.0,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.092,10.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,403.0,0.123,50.0,18,8,44.44,0.89 (0.40-1.37),10,55.56,2.67 (1.77-3.57),5.27,2.61
GABA like neurons 14,3052.0,0.172,77.0,125,6,4.8,3.28 (2.73-3.82),119,95.2,3.35 (3.02-3.68),3.77,8.86
astrocytes 8,771.0,0.018,1.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.089,40.0,32,9,28.12,1.41 (0.59-2.23),23,71.88,4.12 (3.22-5.01),3.39,2.29
oligodendrocytes 10,1277.0,0.077,29.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,126.0,0.262,36.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79),3.29,1.65
astrocytes 15,1768.0,0.042,8.0,105,19,18.1,2.27 (1.75-2.79),86,81.9,3.44 (3.06-3.82),4.53,3.86
oligodendrocytes 16,74.0,0.173,35.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA),NA,1.76
da neurons 6,398.0,0.057,2.0,138,18,13.04,2.37 (1.81-2.94),120,86.96,5.27 (4.91-5.63),2.45,2.78
astrocytes microglia 23,108.0,0.259,18.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80),NA,3.04
astrocytes 4,721.0,0.15,48.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,479.0,0.113,17.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,1615.0,0.086,17.0,161,29,18.01,2.11 (1.43-2.79),132,81.99,3.52 (3.25-3.79),9.47,4.55
oligodendrocytes 3,639.0,0.107,59.0,15,7,46.67,1.49 (0.55-2.43),8,53.33,5.44 (4.03-6.86),2.49,1.98
oligodendrocytes 2,804.0,0.147,46.0,84,20,23.81,2.95 (2.09-3.81),64,76.19,2.62 (2.26-2.99),4.21,3.14
