tipo_celular,module_size,FAM49B_MM,FAM49B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.144,22.0,140,45,32.14,4.19 (3.87-4.51),95,67.86,4.76 (4.36-5.16),4.53,3.07
T cells 18,393,0.112,20.0,59,6,10.17,6.76 (4.64-8.88),53,89.83,2.73 (2.35-3.11),2.05,5.72
astrocytes 5,165,0.11,11.0,51,1,1.96,5.98 (NA-NA),50,98.04,5.33 (4.65-6.01),2.02,2.97
oligodendrocyte progenitor cells 7,448,0.091,14.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70),1.97,17.26
GABA neurons expressing GLU receptors 22,459,0.059,5.0,165,13,7.88,2.68 (1.96-3.39),152,92.12,5.37 (5.04-5.71),4.24,4.08
GLU like neurons 17,489,0.19,76.0,42,2,4.76,4.33 (4.33-4.33),40,95.24,6.11 (5.54-6.68),5.45,3.10
da like neurons 11,197,0.274,70.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,200,0.133,36.0,34,1,2.94,3.41 (NA-NA),33,97.06,3.91 (2.99-4.82),1.55,3.55
endothelial cells 9,1653,0.169,78.0,297,4,1.35,6.04 (1.64-10.44),293,98.65,3.65 (3.45-3.85),2.99,5.55
oligodendrocytes 20,676,0.277,51.0,110,28,25.45,3.95 (3.32-4.58),82,74.55,5.54 (5.00-6.09),3.36,3.58
GABA like neurons 14,1300,0.184,38.0,306,51,16.67,3.93 (3.42-4.44),255,83.33,5.43 (5.14-5.71),5.59,6.93
astrocytes 8,771,0.305,81.0,48,4,8.33,4.47 (2.05-6.88),44,91.67,4.43 (3.62-5.23),1.75,3.27
oligodendrocyte progenitor cells 12,153,0.331,24.0,27,2,7.41,2.18 (-0.23-4.59),25,92.59,5.23 (4.36-6.10),1.55,2.20
oligodendrocytes 10,130,0.26,25.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,100,0.376,91.0,8,1,12.5,NA,7,87.5,1.58 (-0.37-3.52),1.45,2.05
astrocytes 15,443,0.192,78.0,9,2,22.22,0.95 (NA-NA),7,77.78,3.60 (2.32-4.88),3.73,1.79
oligodendrocytes 16,153,0.251,20.0,14,1,7.14,3.79 (NA-NA),13,92.86,4.74 (3.97-5.52),2.08,2.95
da neurons 6,398,0.174,59.0,138,37,26.81,3.45 (2.94-3.96),101,73.19,5.46 (5.04-5.88),3.07,2.61
astrocytes microglia 23,229,0.447,90.0,99,17,17.17,4.73 (4.00-5.45),82,82.83,4.21 (3.84-4.58),3.50,3.18
astrocytes 4,1807,0.113,7.0,104,12,11.54,1.35 (0.93-1.76),92,88.46,3.08 (2.79-3.37),13.94,4.28
oligodendrocytes 0,261,0.108,11.0,42,16,38.1,3.40 (2.44-4.37),26,61.9,4.72 (3.81-5.63),2.49,2.14
microglia 1,315,0.176,52.0,144,26,18.06,4.80 (4.08-5.52),118,81.94,4.38 (4.04-4.72),3.36,4.39
oligodendrocytes 3,44,0.325,98.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,804,0.139,34.0,84,10,11.9,1.64 (0.77-2.50),74,88.1,2.81 (2.46-3.16),2.49,3.52
