tipo_celular,module_size,NCOA5_MM,NCOA5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.101,12.0,71,6,8.45,2.37 (0.94-3.81),65,91.55,2.65 (2.22-3.08),2.46,3.68
T cells 18,727.0,0.139,45.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1656.0,0.124,64.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57),7.46,4.87
oligodendrocyte progenitor cells 7,4285.0,0.137,53.0,353,53,15.01,2.12 (1.82-2.43),300,84.99,4.32 (4.14-4.50),21.58,5.68
GABA neurons expressing GLU receptors 22,487.0,0.216,52.0,73,7,9.59,2.01 (0.97-3.04),66,90.41,2.85 (2.44-3.26),2.45,7.85
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,108.0,0.092,7.0,5,1,20.0,5.16 (NA-NA),4,80.0,3.78 (3.78-3.78),2.32,3.33
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.095,23.0,297,2,0.67,5.16 (5.16-5.16),295,99.33,3.66 (3.46-3.87),11.14,5.48
oligodendrocytes 20,221.0,0.414,92.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,3052.0,0.243,99.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771.0,0.041,7.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,3303.0,0.061,28.0,276,41,14.86,2.08 (1.78-2.37),235,85.14,3.90 (3.66-4.13),10.81,4.12
oligodendrocytes 10,2107.0,0.091,24.0,358,61,17.04,2.27 (1.94-2.59),297,82.96,4.34 (4.15-4.52),25.60,6.16
connective tissue cells 21,145.0,0.27,35.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,1768.0,0.118,77.0,105,21,20.0,1.99 (1.46-2.51),84,80.0,3.55 (3.18-3.92),6.63,3.32
oligodendrocytes 16,112.0,0.131,16.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.381,77.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.171,91.0,104,27,25.96,1.96 (1.51-2.40),77,74.04,3.22 (2.90-3.53),10.18,3.72
oligodendrocytes 0,2078.0,0.1,22.0,238,12,5.04,2.63 (1.93-3.32),226,94.96,3.70 (3.47-3.93),6.89,4.92
microglia 1,1615.0,0.136,81.0,161,47,29.19,2.07 (1.73-2.40),114,70.81,3.94 (3.65-4.23),9.57,3.73
oligodendrocytes 3,681.0,0.103,58.0,87,50,57.47,2.46 (2.14-2.79),37,42.53,2.78 (2.31-3.26),5.02,3.19
oligodendrocytes 2,1630.0,0.14,47.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
