tipo_celular,module_size,OARD1_MM,OARD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.13,73.0,136,3,2.21,3.17 (0.06-6.27),133,97.79,3.21 (2.94-3.48),4.47,5.00
oligodendrocyte progenitor cells 7,4285.0,0.116,23.0,353,31,8.78,1.93 (1.44-2.41),322,91.22,4.14 (3.96-4.32),30.71,5.88
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,279.0,0.364,86.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,262.0,0.118,40.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,708.0,0.062,19.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,1277.0,0.06,17.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.059,22.0,105,16,15.24,1.77 (1.31-2.22),89,84.76,3.50 (3.14-3.86),8.02,3.25
oligodendrocytes 16,91.0,0.167,23.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,121.0,0.322,60.0,1,1,100.0,6.31 (NA-NA),0,0.0,NA,1.47,NA
astrocytes 4,1807.0,0.167,88.0,104,21,20.19,1.90 (1.47-2.34),83,79.81,3.13 (2.82-3.44),12.27,3.66
oligodendrocytes 0,2078.0,0.124,69.0,238,9,3.78,2.68 (1.56-3.80),229,96.22,3.68 (3.46-3.90),8.59,4.88
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.088,47.0,76,5,6.58,2.78 (0.74-4.82),71,93.42,2.78 (2.46-3.10),3.37,4.82
oligodendrocytes 2,1630.0,0.111,7.0,154,1,0.65,4.40 (NA-NA),153,99.35,3.24 (2.97-3.50),2.04,3.60
