tipo_celular,module_size,PUF60_MM,PUF60_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.166,51.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,86.0,0.193,73.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,916.0,0.126,23.0,302,4,1.32,2.54 (0.53-4.56),298,98.68,4.01 (3.78-4.23),4.17,10.74
oligodendrocytes 20,279.0,0.126,17.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.115,62.0,235,9,3.83,3.54 (3.18-3.90),226,96.17,3.84 (3.59-4.08),4.32,7.75
oligodendrocytes 10,735.0,0.127,67.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,91.0,0.256,73.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.11,41.0,235,8,3.4,2.08 (1.38-2.79),227,96.6,4.07 (3.82-4.32),5.07,4.39
astrocytes microglia 23,112.0,0.411,91.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.153,41.0,252,25,9.92,1.99 (1.45-2.53),227,90.08,4.40 (4.15-4.64),7.63,8.27
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.102,33.0,154,2,1.3,4.31 (4.31-4.31),152,98.7,3.61 (3.29-3.93),2.95,11.96
oligodendrocytes 2,528.0,0.232,66.0,175,3,1.71,3.74 (2.72-4.76),172,98.29,4.39 (4.03-4.74),6.41,4.59
