tipo_celular,module_size,SVIP_MM,SVIP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,349.0,0.105,20.0,68,11,16.18,2.20 (1.46-2.95),57,83.82,4.95 (4.40-5.51),3.21,3.33
astrocytes 5,328.0,0.145,39.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,229.0,0.154,30.0,45,1,2.22,5.19 (NA-NA),44,97.78,5.00 (4.36-5.63),2.73,5.42
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,408.0,0.253,67.0,25,8,32.0,1.70 (0.64-2.75),17,68.0,6.56 (5.46-7.65),2.14,2.34
GABA neurons expressing GABA receptors 13,238.0,0.13,29.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,916.0,0.195,46.0,302,16,5.3,2.92 (2.27-3.58),286,94.7,4.05 (3.82-4.29),6.56,10.88
oligodendrocytes 20,938.0,0.366,98.0,169,35,20.71,3.01 (2.60-3.42),134,79.29,3.60 (3.35-3.85),5.91,5.22
GABA like neurons 14,2402.0,0.631,97.0,455,69,15.16,3.50 (3.05-3.96),386,84.84,4.54 (4.35-4.74),16.52,7.46
astrocytes 8,771.0,0.261,76.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.192,75.0,25,3,12.0,4.05 (0.28-7.83),22,88.0,2.67 (1.69-3.65),2.56,2.53
oligodendrocytes 10,204.0,0.106,10.0,92,2,2.17,2.53 (2.34-2.73),90,97.83,5.82 (5.36-6.28),7.06,3.65
connective tissue cells 21,95.0,0.232,23.0,4,1,25.0,2.71 (NA-NA),3,75.0,3.73 (2.31-5.14),1.38,1.83
astrocytes 15,458.0,0.131,68.0,36,1,2.78,NA,35,97.22,3.77 (2.68-4.85),1.41,2.61
oligodendrocytes 16,81.0,0.24,77.0,1,0,0.0,NA,1,100.0,NA,NA,3.71
da neurons 6,729.0,0.247,88.0,182,4,2.2,2.12 (1.27-2.97),178,97.8,3.68 (3.42-3.93),4.74,8.61
astrocytes microglia 23,63.0,0.402,91.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,102.0,0.096,2.0,42,1,2.38,5.19 (NA-NA),41,97.62,5.70 (4.96-6.44),2.94,3.17
oligodendrocytes 0,546.0,0.236,76.0,252,50,19.84,2.90 (2.41-3.38),202,80.16,4.43 (4.17-4.70),10.86,7.55
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.14,52.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.529,95.0,213,1,0.47,3.96 (NA-NA),212,99.53,3.98 (3.70-4.25),3.27,7.96
