tipo_celular,module_size,TAF3_MM,TAF3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.127,26.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58),3.06,3.63
T cells 18,727.0,0.098,16.0,49,1,2.04,3.05 (NA-NA),48,97.96,2.41 (2.01-2.82),1.32,6.34
astrocytes 5,932.0,0.094,27.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07),1.98,4.36
oligodendrocyte progenitor cells 7,4285.0,0.164,89.0,353,74,20.96,2.31 (2.06-2.55),279,79.04,4.46 (4.28-4.64),18.67,5.25
GABA neurons expressing GLU receptors 22,714.0,0.101,8.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94),2.48,4.02
GLU like neurons 17,380.0,0.293,97.0,39,5,12.82,2.67 (1.78-3.57),34,87.18,3.01 (2.39-3.64),2.12,2.64
da like neurons 11,82.0,0.435,89.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.153,69.0,297,3,1.01,4.17 (NA-NA),294,98.99,3.67 (3.47-3.88),2.32,5.55
oligodendrocytes 20,403.0,0.139,57.0,18,9,50.0,0.95 (0.43-1.47),9,50.0,2.81 (1.88-3.73),4.66,2.92
GABA like neurons 14,3052.0,0.2,92.0,125,3,2.4,3.70 (3.13-4.26),122,97.6,3.34 (3.01-3.67),5.27,8.70
astrocytes 8,1266.0,0.084,53.0,66,21,31.82,1.97 (1.45-2.49),45,68.18,3.90 (3.45-4.36),3.58,2.66
oligodendrocyte progenitor cells 12,708.0,0.179,70.0,32,15,46.88,1.99 (1.31-2.66),17,53.12,4.70 (3.56-5.84),3.07,2.18
oligodendrocytes 10,2107.0,0.153,52.0,358,83,23.18,2.40 (2.14-2.65),275,76.82,4.49 (4.30-4.69),21.50,5.84
connective tissue cells 21,111.0,0.193,4.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,1768.0,0.079,44.0,105,28,26.67,1.99 (1.63-2.36),77,73.33,3.71 (3.32-4.10),6.10,3.21
oligodendrocytes 16,69.0,0.164,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,96.0,0.217,0.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,721.0,0.138,26.0,61,4,6.56,2.35 (1.65-3.06),57,93.44,3.01 (2.57-3.45),2.53,6.27
oligodendrocytes 0,1186.0,0.137,36.0,300,14,4.67,3.56 (3.22-3.91),286,95.33,3.81 (3.59-4.02),5.39,4.10
microglia 1,813.0,0.112,46.0,79,2,2.53,1.99 (1.51-2.47),77,97.47,3.13 (2.72-3.54),6.65,7.93
oligodendrocytes 3,681.0,0.109,62.0,87,55,63.22,2.41 (2.13-2.69),32,36.78,2.97 (2.38-3.55),5.15,2.69
oligodendrocytes 2,921.0,0.133,42.0,200,14,7.0,2.86 (2.35-3.37),186,93.0,3.68 (3.40-3.96),4.47,3.39
