tipo_celular,module_size,RRP12_MM,RRP12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.108,47.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,1069.0,0.203,77.0,37,3,8.11,1.90 (1.43-2.38),34,91.89,2.18 (1.68-2.68),2.81,3.13
GLU like neurons 17,1247.0,0.19,80.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,172.0,0.187,38.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,357.0,0.105,19.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64),NA,4.18
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.28,97.0,74,5,6.76,1.86 (1.51-2.20),69,93.24,3.03 (2.64-3.43),3.73,10.99
astrocytes 8,1266.0,0.058,24.0,66,15,22.73,1.49 (0.98-2.01),51,77.27,3.84 (3.45-4.24),4.37,2.54
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.045,10.0,105,17,16.19,1.55 (1.17-1.93),88,83.81,3.57 (3.21-3.92),7.46,3.31
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.107,48.0,122,8,6.56,1.11 (0.42-1.79),114,93.44,4.26 (3.88-4.64),5.17,3.36
astrocytes microglia 23,109.0,0.286,31.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.141,43.0,104,23,22.12,1.63 (1.30-1.95),81,77.88,3.25 (2.95-3.56),10.76,3.87
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
