tipo_celular,module_size,ZNF398_MM,ZNF398_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.117,21.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.109,50.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07),1.98,4.36
oligodendrocyte progenitor cells 7,4285.0,0.127,37.0,353,47,13.31,2.02 (1.72-2.33),306,86.69,4.28 (4.10-4.46),18.17,6.51
GABA neurons expressing GLU receptors 22,1069.0,0.269,97.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69),2.33,3.22
GLU like neurons 17,1247.0,0.116,36.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,89.0,0.063,4.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,2.49
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.059,17.0,169,3,1.78,0.69 (0.05-1.34),166,98.22,3.54 (3.33-3.75),3.75,5.39
GABA like neurons 14,2090.0,0.137,38.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60),3.24,12.34
astrocytes 8,283.0,0.108,32.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.082,54.0,276,37,13.41,1.96 (1.71-2.21),239,86.59,3.88 (3.65-4.11),6.57,4.88
oligodendrocytes 10,2107.0,0.064,11.0,358,60,16.76,2.18 (1.88-2.47),298,83.24,4.35 (4.17-4.54),20.63,7.23
connective tissue cells 21,139.0,0.319,59.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,377.0,0.02,1.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,121.0,0.228,59.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,70.0,0.258,18.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.53
astrocytes 4,1807.0,0.153,66.0,104,18,17.31,1.30 (1.04-1.57),86,82.69,3.22 (2.94-3.51),8.98,4.65
oligodendrocytes 0,2078.0,0.104,28.0,238,15,6.3,2.51 (2.08-2.95),223,93.7,3.73 (3.50-3.96),5.69,4.98
microglia 1,1615.0,0.086,17.0,161,47,29.19,2.02 (1.72-2.32),114,70.81,3.97 (3.67-4.26),7.54,4.56
oligodendrocytes 3,357.0,0.044,6.0,127,2,1.57,2.65 (2.03-3.27),125,98.43,3.13 (2.79-3.47),1.73,4.28
oligodendrocytes 2,1630.0,0.138,43.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
