tipo_celular,module_size,ACVR1B_MM,ACVR1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.206,65.0,73,11,15.07,3.90 (3.58-4.22),62,84.93,3.49 (3.07-3.90),2.91,3.27
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.116,23.0,353,61,17.28,2.44 (2.14-2.74),292,82.72,4.30 (4.11-4.49),13.41,6.95
GABA neurons expressing GLU receptors 22,823.0,0.249,87.0,23,8,34.78,3.34 (2.45-4.23),15,65.22,1.80 (0.90-2.69),2.14,4.11
GLU like neurons 17,1316.0,0.104,33.0,101,5,4.95,2.82 (2.53-3.11),96,95.05,3.06 (2.70-3.42),2.63,3.08
da like neurons 11,265.0,0.153,34.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93),1.55,1.82
GABA neurons expressing GABA receptors 13,88.0,0.137,37.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,1653.0,0.078,12.0,297,15,5.05,3.96 (3.43-4.50),282,94.95,3.66 (3.44-3.87),4.37,5.58
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.081,6.0,74,13,17.57,2.22 (1.96-2.48),61,82.43,3.13 (2.67-3.58),3.41,12.01
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.065,33.0,276,54,19.57,2.36 (2.09-2.64),222,80.43,3.93 (3.68-4.18),7.10,4.63
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,111.0,0.405,92.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307.0,0.139,67.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,121.0,0.304,43.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,480.0,0.146,27.0,163,24,14.72,3.77 (3.36-4.17),139,85.28,3.70 (3.39-4.01),3.54,5.45
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
