tipo_celular,module_size,TOR1AIP1_MM,TOR1AIP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.194,40.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,282.0,0.241,89.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,1656.0,0.15,94.0,136,1,0.74,NA,135,99.26,3.21 (2.94-3.48),1.43,5.01
oligodendrocyte progenitor cells 7,4285.0,0.149,71.0,353,27,7.65,2.03 (1.49-2.57),326,92.35,4.07 (3.89-4.25),21.56,6.95
GABA neurons expressing GLU receptors 22,1069.0,0.033,0.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.052,3.0,275,17,6.18,1.80 (0.97-2.62),258,93.82,4.11 (3.85-4.37),7.85,5.75
oligodendrocytes 20,676.0,0.057,27.0,110,4,3.64,1.59 (0.76-2.42),106,96.36,5.13 (4.69-5.56),4.33,3.49
GABA like neurons 14,2402.0,0.082,4.0,455,20,4.4,2.15 (1.46-2.84),435,95.6,4.47 (4.29-4.65),23.98,8.14
astrocytes 8,47.0,0.03,7.0,76,0,0.0,NA,76,100.0,4.02 (3.72-4.33),NA,4.61
oligodendrocyte progenitor cells 12,3303.0,0.101,75.0,276,11,3.99,2.48 (1.62-3.35),265,96.01,3.59 (3.37-3.81),8.24,4.98
oligodendrocytes 10,735.0,0.087,43.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,96.0,0.233,13.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.047,11.0,105,12,11.43,2.10 (1.41-2.78),93,88.57,3.37 (3.01-3.73),3.91,3.99
oligodendrocytes 16,65.0,0.268,80.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,94.0,0.395,79.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.151,63.0,104,8,7.69,2.02 (0.87-3.18),96,92.31,2.94 (2.65-3.22),10.60,4.96
oligodendrocytes 0,2078.0,0.125,72.0,238,6,2.52,3.07 (0.85-5.29),232,97.48,3.65 (3.43-3.87),5.10,5.02
microglia 1,958.0,0.089,16.0,290,11,3.79,2.66 (1.80-3.51),279,96.21,3.86 (3.62-4.09),6.38,4.95
oligodendrocytes 3,854.0,0.05,6.0,76,2,2.63,2.19 (-1.70-6.07),74,97.37,2.80 (2.47-3.12),2.20,4.79
oligodendrocytes 2,1630.0,0.152,71.0,154,1,0.65,2.12 (NA-NA),153,99.35,3.25 (2.99-3.52),2.69,3.60
