tipo_celular,module_size,GTF2H3_MM,GTF2H3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.119,54.0,136,9,6.62,3.13 (1.96-4.30),127,93.38,3.21 (2.93-3.49),4.48,5.02
oligodendrocyte progenitor cells 7,4285.0,0.098,9.0,353,41,11.61,2.08 (1.65-2.51),312,88.39,4.20 (4.02-4.38),28.35,5.40
GABA neurons expressing GLU receptors 22,599.0,0.238,65.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,1316.0,0.138,62.0,101,1,0.99,NA,100,99.01,3.05 (2.70-3.40),1.72,3.07
da like neurons 11,853.0,0.077,10.0,133,24,18.05,1.54 (1.19-1.89),109,81.95,3.72 (3.39-4.04),5.82,3.80
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,348.0,0.013,0.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,3052.0,0.135,46.0,125,5,4.0,3.47 (3.05-3.89),120,96.0,3.35 (3.01-3.69),4.63,8.78
astrocytes 8,260.0,0.072,18.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,3303.0,0.064,31.0,276,29,10.51,1.99 (1.69-2.29),247,89.49,3.79 (3.56-4.02),14.44,4.01
oligodendrocytes 10,483.0,0.025,1.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,261.0,0.023,2.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64),1.77,1.85
oligodendrocytes 16,64.0,0.4,96.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,78.0,0.317,43.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.146,54.0,104,28,26.92,1.86 (1.47-2.24),76,73.08,3.28 (2.96-3.59),10.81,3.40
oligodendrocytes 0,2078.0,0.114,49.0,238,10,4.2,2.64 (1.87-3.40),228,95.8,3.69 (3.46-3.91),8.15,4.89
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.075,40.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.144,54.0,154,1,0.65,3.22 (NA-NA),153,99.35,3.24 (2.98-3.51),2.89,3.60
