tipo_celular,module_size,CEBPZ_MM,CEBPZ_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184.0,0.287,86.0,21,6,28.57,0.55 (0.29-0.81),15,71.43,3.05 (2.54-3.56),2.67,1.74
T cells 18,506.0,0.159,41.0,225,8,3.56,1.42 (1.12-1.73),217,96.44,3.72 (3.47-3.97),10.57,7.80
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.099,9.0,353,45,12.75,2.01 (1.67-2.34),308,87.25,4.25 (4.08-4.43),19.85,6.34
GABA neurons expressing GLU receptors 22,567.0,0.24,68.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64),NA,3.63
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.117,23.0,410,2,0.49,1.88 (-0.73-4.50),408,99.51,4.26 (4.08-4.45),18.57,7.46
GABA neurons expressing GABA receptors 13,88.0,0.09,7.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,385.0,0.098,45.0,275,42,15.27,1.96 (1.65-2.26),233,84.73,4.52 (4.26-4.78),11.35,4.90
oligodendrocytes 20,938.0,0.181,74.0,169,3,1.78,0.69 (0.05-1.34),166,98.22,3.54 (3.33-3.75),3.75,5.39
GABA like neurons 14,2402.0,0.279,62.0,455,15,3.3,1.02 (0.65-1.39),440,96.7,4.50 (4.32-4.68),25.62,8.26
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.058,24.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,483.0,0.091,38.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,118.0,0.339,75.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,107.0,0.239,65.0,11,2,18.18,0.85 (0.21-1.49),9,81.82,1.63 (0.84-2.42),2.75,3.75
da neurons 6,729.0,0.064,4.0,182,4,2.2,1.44 (1.34-1.53),178,97.8,3.70 (3.45-3.95),3.86,8.63
astrocytes microglia 23,118.0,0.31,54.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.082,2.0,127,13,10.24,2.13 (1.69-2.57),114,89.76,3.23 (2.75-3.70),3.19,6.63
microglia 1,958.0,0.089,17.0,290,7,2.41,1.63 (0.88-2.38),283,97.59,3.87 (3.64-4.10),8.55,4.91
oligodendrocytes 3,681.0,0.033,1.0,87,37,42.53,2.14 (1.81-2.47),50,57.47,2.94 (2.56-3.33),4.53,4.03
oligodendrocytes 2,1630.0,0.136,39.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
