tipo_celular,module_size,EML2_MM,EML2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.132,33.0,142,2,1.41,4.42 (3.19-5.66),140,98.59,3.19 (2.92-3.46),2.76,4.32
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,229.0,0.094,10.0,45,1,2.22,5.19 (NA-NA),44,97.78,5.00 (4.36-5.63),2.73,5.42
GABA neurons expressing GLU receptors 22,487.0,0.229,56.0,73,3,4.11,2.12 (1.04-3.20),70,95.89,2.79 (2.39-3.19),2.37,7.54
GLU like neurons 17,1247.0,0.311,99.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.229,90.0,133,10,7.52,1.96 (1.08-2.84),123,92.48,3.38 (3.06-3.70),4.17,4.16
GABA neurons expressing GABA receptors 13,266.0,0.2,70.0,118,3,2.54,7.70 (NA-NA),115,97.46,4.70 (4.35-5.06),6.17,3.94
endothelial cells 9,450.0,0.115,17.0,74,7,9.46,4.36 (3.27-5.44),67,90.54,5.62 (5.02-6.22),2.71,3.73
oligodendrocytes 20,253.0,0.165,55.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2090.0,0.358,100.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.124,56.0,25,3,12.0,1.22 (-0.77-3.20),22,88.0,3.04 (2.01-4.08),1.74,2.65
oligodendrocytes 10,806.0,0.135,41.0,261,20,7.66,4.85 (4.05-5.65),241,92.34,4.33 (4.08-4.58),4.77,6.17
connective tissue cells 21,118.0,0.365,85.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,91.0,0.181,38.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,5.09
da neurons 6,228.0,0.103,57.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,157.0,0.35,70.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.098,8.0,127,1,0.79,2.74 (NA-NA),126,99.21,3.05 (2.64-3.47),1.56,6.32
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,357.0,0.104,57.0,127,1,0.79,5.19 (NA-NA),126,99.21,3.10 (2.77-3.43),2.48,4.25
oligodendrocytes 2,407.0,0.124,17.0,122,12,9.84,1.22 (0.74-1.70),110,90.16,3.63 (3.24-4.03),3.13,2.65
