tipo_celular,module_size,TMEM254_MM,TMEM254_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.109,40.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.142,53.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266.0,0.067,33.0,66,0,0.0,NA,66,100.0,3.23 (2.81-3.65),NA,2.95
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.044,9.0,105,2,1.9,1.25 (-0.12-2.62),103,98.1,3.25 (2.92-3.59),4.52,3.97
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,39.0,0.363,64.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.125,18.0,104,2,1.92,1.25 (-0.12-2.62),102,98.08,2.90 (2.61-3.18),3.39,5.44
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
