tipo_celular,module_size,NRDE2_MM,NRDE2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.226,61.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,349.0,0.094,15.0,68,7,10.29,1.51 (1.08-1.95),61,89.71,4.81 (4.28-5.34),3.33,3.31
astrocytes 5,1656.0,0.123,62.0,136,7,5.15,2.47 (1.47-3.46),129,94.85,3.25 (2.97-3.53),6.85,4.89
oligodendrocyte progenitor cells 7,4285.0,0.109,16.0,353,83,23.51,3.07 (2.69-3.46),270,76.49,4.24 (4.04-4.43),16.79,5.38
GABA neurons expressing GLU receptors 22,714.0,0.152,32.0,17,7,41.18,2.52 (2.09-2.95),10,58.82,2.16 (1.20-3.12),2.27,4.47
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.067,3.0,410,10,2.44,3.52 (2.32-4.71),400,97.56,4.27 (4.08-4.46),8.21,7.50
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.073,8.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,228.0,0.236,63.0,5,3,60.0,1.95 (0.03-3.87),2,40.0,5.21 (1.90-8.51),1.78,3.49
GABA like neurons 14,2090.0,0.146,44.0,74,10,13.51,1.96 (1.71-2.21),64,86.49,3.08 (2.67-3.50),3.39,11.61
astrocytes 8,771.0,0.052,14.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,1049.0,0.065,29.0,235,3,1.28,4.49 (2.75-6.24),232,98.72,3.81 (3.58-4.05),2.64,7.68
oligodendrocytes 10,1277.0,0.085,34.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,96.0,0.248,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.021,2.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,91.0,0.188,42.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,5.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,100.0,0.306,53.0,9,1,11.11,3.58 (NA-NA),8,88.89,4.00 (2.85-5.14),1.49,1.75
astrocytes 4,1807.0,0.155,70.0,104,29,27.88,2.05 (1.61-2.48),75,72.12,3.18 (2.86-3.50),9.72,3.73
oligodendrocytes 0,2078.0,0.107,35.0,238,31,13.03,4.20 (3.61-4.79),207,86.97,3.53 (3.30-3.77),5.35,4.97
microglia 1,1615.0,0.087,18.0,161,52,32.3,2.21 (1.88-2.53),109,67.7,3.92 (3.61-4.23),9.08,3.69
oligodendrocytes 3,357.0,0.072,32.0,127,15,11.81,4.82 (3.99-5.66),112,88.19,2.95 (2.62-3.29),5.36,4.09
oligodendrocytes 2,921.0,0.092,4.0,200,29,14.5,4.56 (3.98-5.13),171,85.5,3.44 (3.15-3.72),4.65,3.26
