tipo_celular,module_size,PPP1R3E_MM,PPP1R3E_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.12,56.0,136,2,1.47,1.37 (1.27-1.47),134,98.53,3.24 (2.97-3.51),9.46,4.92
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.154,64.0,169,6,3.55,1.70 (0.44-2.97),163,96.45,3.55 (3.33-3.76),4.18,5.41
GABA like neurons 14,2090.0,0.083,6.0,74,3,4.05,2.22 (1.63-2.82),71,95.95,2.96 (2.58-3.35),3.19,10.81
astrocytes 8,603.0,0.047,19.0,89,5,5.62,1.10 (0.88-1.32),84,94.38,2.90 (2.54-3.26),5.38,6.08
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.099,44.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.047,14.0,96,3,3.12,1.90 (1.73-2.07),93,96.88,3.68 (3.22-4.14),1.67,3.87
oligodendrocytes 16,64.0,0.304,88.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,86.0,0.29,32.0,1,1,100.0,1.71 (NA-NA),0,0.0,NA,1.66,NA
astrocytes 4,1807.0,0.161,80.0,104,12,11.54,1.37 (0.88-1.86),92,88.46,3.08 (2.79-3.36),10.81,4.69
oligodendrocytes 0,2078.0,0.099,21.0,238,5,2.1,2.26 (1.23-3.29),233,97.9,3.67 (3.45-3.89),7.23,4.98
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.037,1.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65),1.70,4.25
oligodendrocytes 2,1630.0,0.123,18.0,154,2,1.3,2.71 (NA-NA),152,98.7,3.25 (2.98-3.52),1.58,3.62
