tipo_celular,module_size,TNS1_MM,TNS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,156.0,0.156,60.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,200.0,0.126,25.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1247.0,0.093,20.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,59.0,0.363,75.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.231,62.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,403.0,0.095,40.0,18,1,5.56,3.22 (NA-NA),17,94.44,1.80 (1.10-2.50),6.01,3.66
GABA like neurons 14,3052.0,0.119,33.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266.0,0.054,18.0,66,1,1.52,0.21 (NA-NA),65,98.48,3.28 (2.87-3.69),5.85,2.91
oligodendrocyte progenitor cells 12,708.0,0.208,75.0,32,3,9.38,4.70 (NA-NA),29,90.62,3.19 (2.36-4.02),2.50,2.61
oligodendrocytes 10,1277.0,0.095,41.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,145.0,0.242,20.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,1401.0,0.225,98.0,96,3,3.12,4.70 (NA-NA),93,96.88,3.60 (3.14-4.05),5.45,3.74
oligodendrocytes 16,104.0,0.233,65.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,228.0,0.127,72.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,96.0,0.233,8.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,161.0,0.163,42.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91),NA,3.11
oligodendrocytes 0,117.0,0.193,75.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88),NA,2.12
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.197,77.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,347.0,0.232,67.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
