tipo_celular,module_size,OTUD6B_MM,OTUD6B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.122,19.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.128,38.0,353,41,11.61,2.34 (1.95-2.74),312,88.39,4.15 (3.96-4.34),14.72,7.19
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,275.0,0.239,65.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402.0,0.123,16.0,455,25,5.49,2.98 (2.18-3.78),430,94.51,4.45 (4.27-4.64),15.36,8.46
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.075,46.0,276,36,13.04,2.38 (1.95-2.82),240,86.96,3.76 (3.53-4.00),7.99,4.68
oligodendrocytes 10,2107.0,0.061,9.0,358,51,14.25,2.39 (2.00-2.78),307,85.75,4.19 (3.99-4.38),16.09,8.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,74.0,0.323,95.0,1,0,0.0,NA,1,100.0,NA,NA,1.34
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,110.0,0.323,56.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.102,25.0,238,17,7.14,3.39 (2.59-4.19),221,92.86,3.65 (3.43-3.88),5.66,4.97
microglia 1,813.0,0.116,50.0,79,1,1.27,2.76 (NA-NA),78,98.73,3.11 (2.70-3.51),5.40,7.93
oligodendrocytes 3,743.0,0.05,8.0,76,1,1.32,5.34 (NA-NA),75,98.68,3.13 (2.73-3.52),2.11,7.36
oligodendrocytes 2,1630.0,0.143,52.0,154,4,2.6,2.74 (2.69-2.78),150,97.4,3.25 (2.98-3.52),2.27,3.63
