tipo_celular,module_size,RNF138_MM,RNF138_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184.0,0.157,19.0,21,9,42.86,1.33 (0.55-2.12),12,57.14,3.09 (2.44-3.74),2.59,1.57
T cells 18,624.0,0.136,36.0,142,3,2.11,4.12 (1.97-6.28),139,97.89,3.19 (2.92-3.45),1.86,4.35
astrocytes 5,1656.0,0.097,23.0,136,5,3.68,3.47 (1.19-5.75),131,96.32,3.20 (2.93-3.46),4.39,5.01
oligodendrocyte progenitor cells 7,4285.0,0.127,36.0,353,42,11.9,2.35 (1.79-2.90),311,88.1,4.12 (3.94-4.30),21.07,6.31
GABA neurons expressing GLU receptors 22,400.0,0.176,35.0,24,6,25.0,0.68 (0.17-1.19),18,75.0,2.65 (2.17-3.12),5.14,3.06
GLU like neurons 17,685.0,0.076,13.0,135,16,11.85,1.56 (1.15-1.97),119,88.15,3.40 (3.08-3.72),4.50,3.65
da like neurons 11,209.0,0.132,31.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.134,29.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20),NA,6.82
oligodendrocytes 20,403.0,0.055,20.0,18,8,44.44,0.91 (0.42-1.41),10,55.56,2.65 (1.73-3.57),4.95,2.87
GABA like neurons 14,2090.0,0.073,4.0,74,4,5.41,1.95 (1.41-2.50),70,94.59,3.01 (2.61-3.40),3.81,10.88
astrocytes 8,140.0,0.127,49.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,3303.0,0.046,12.0,276,30,10.87,2.37 (1.86-2.89),246,89.13,3.70 (3.47-3.93),9.92,4.52
oligodendrocytes 10,2107.0,0.19,66.0,358,45,12.57,2.41 (1.88-2.94),313,87.43,4.11 (3.92-4.30),22.05,7.66
connective tissue cells 21,82.0,0.349,83.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82),NA,1.85
astrocytes 15,338.0,0.215,85.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,64.0,0.074,2.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,157.0,0.371,83.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.15,61.0,104,20,19.23,1.78 (1.34-2.22),84,80.77,3.15 (2.84-3.45),8.72,4.61
oligodendrocytes 0,2078.0,0.126,74.0,238,20,8.4,3.51 (2.75-4.28),218,91.6,3.65 (3.42-3.88),6.11,4.92
microglia 1,958.0,0.114,54.0,290,5,1.72,2.51 (1.18-3.83),285,98.28,3.84 (3.61-4.07),5.89,4.98
oligodendrocytes 3,681.0,0.079,35.0,87,17,19.54,1.46 (1.09-1.84),70,80.46,2.86 (2.57-3.15),4.80,4.11
oligodendrocytes 2,1630.0,0.162,88.0,154,1,0.65,3.22 (NA-NA),153,99.35,3.24 (2.98-3.51),2.89,3.60
