tipo_celular,module_size,SFMBT2_MM,SFMBT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.355,95.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,388.0,0.251,86.0,84,8,9.52,2.35 (2.23-2.47),76,90.48,3.03 (2.68-3.39),2.45,4.52
astrocytes 5,118.0,0.228,57.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,229.0,0.29,83.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,192.0,0.142,59.0,55,7,12.73,2.10 (1.82-2.39),48,87.27,4.30 (3.88-4.71),1.65,3.57
GLU like neurons 17,1247.0,0.11,32.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20),2.50,3.25
da like neurons 11,408.0,0.248,66.0,25,6,24.0,1.31 (0.53-2.09),19,76.0,6.03 (4.79-7.27),2.01,2.36
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.235,97.0,297,1,0.34,5.16 (NA-NA),296,99.66,3.67 (3.46-3.87),7.30,5.51
oligodendrocytes 20,275.0,0.455,96.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,1300.0,0.297,87.0,306,7,2.29,1.59 (0.70-2.47),299,97.71,5.22 (4.96-5.47),5.11,6.74
astrocytes 8,279.0,0.285,53.0,78,1,1.28,2.54 (NA-NA),77,98.72,4.34 (3.92-4.76),1.31,2.73
oligodendrocyte progenitor cells 12,708.0,0.203,77.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107.0,0.47,99.0,358,56,15.64,2.17 (1.82-2.52),302,84.36,4.28 (4.10-4.47),27.47,6.14
connective tissue cells 21,112.0,0.324,84.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06),1.66,2.04
astrocytes 15,208.0,0.167,51.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,108.0,0.347,94.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00),NA,2.53
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,229.0,0.375,74.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63),NA,3.24
astrocytes 4,201.0,0.115,8.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42),NA,3.09
oligodendrocytes 0,117.0,0.212,85.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88),NA,2.12
microglia 1,315.0,0.293,90.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77),NA,4.21
oligodendrocytes 3,242.0,0.17,68.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,347.0,0.262,75.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
