tipo_celular,module_size,PHLPP2_MM,PHLPP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,610.0,0.064,3.0,98,16,16.33,1.66 (1.05-2.28),82,83.67,3.44 (3.12-3.76),10.71,2.73
astrocytes 5,1656.0,0.128,71.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.111,18.0,353,21,5.95,1.78 (1.23-2.33),332,94.05,4.07 (3.88-4.25),37.36,6.21
GABA neurons expressing GLU receptors 22,567.0,0.16,36.0,16,2,12.5,3.25 (0.69-5.82),14,87.5,1.76 (1.12-2.40),2.11,3.85
GLU like neurons 17,1316.0,0.075,10.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,215.0,0.16,38.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.1,26.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,295.0,0.241,71.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,2090.0,0.15,47.0,74,2,2.7,2.53 (NA-NA),72,97.3,2.95 (2.57-3.33),3.72,10.69
astrocytes 8,1266.0,0.05,14.0,66,19,28.79,1.97 (1.34-2.60),47,71.21,3.85 (3.43-4.28),4.16,2.46
oligodendrocyte progenitor cells 12,708.0,0.076,31.0,32,6,18.75,0.94 (-0.08-1.95),26,81.25,3.87 (3.06-4.69),4.20,2.23
oligodendrocytes 10,806.0,0.038,3.0,261,3,1.15,4.64 (4.20-5.07),258,98.85,4.36 (4.11-4.61),4.54,6.08
connective tissue cells 21,103.0,0.326,77.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,1401.0,0.102,65.0,96,3,3.12,2.48 (0.70-4.26),93,96.88,3.66 (3.20-4.12),8.37,3.65
oligodendrocytes 16,90.0,0.245,71.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,118.0,0.271,23.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.169,81.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.123,69.0,238,3,1.26,1.98 (0.20-3.77),235,98.74,3.66 (3.44-3.88),11.09,4.94
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.057,12.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630.0,0.139,45.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
