tipo_celular,module_size,SOCS5_MM,SOCS5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.153,23.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,610.0,0.106,17.0,98,31,31.63,2.58 (2.11-3.06),67,68.37,3.40 (3.00-3.79),4.01,4.05
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.173,95.0,353,45,12.75,3.13 (2.64-3.63),308,87.25,4.03 (3.84-4.23),14.68,7.10
GABA neurons expressing GLU receptors 22,1069.0,0.133,25.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,685.0,0.141,56.0,135,34,25.19,2.53 (2.08-2.98),101,74.81,3.44 (3.06-3.81),3.57,3.81
da like neurons 11,102.0,0.251,52.0,8,3,37.5,2.36 (0.98-3.74),5,62.5,NA,2.29,1.70
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.147,65.0,297,1,0.34,3.72 (NA-NA),296,99.66,3.67 (3.47-3.88),2.34,5.53
oligodendrocytes 20,403.0,0.056,21.0,18,5,27.78,1.42 (0.35-2.48),13,72.22,2.06 (1.21-2.90),3.14,4.04
GABA like neurons 14,3052.0,0.21,95.0,125,6,4.8,4.61 (3.54-5.68),119,95.2,3.27 (2.94-3.60),4.13,8.84
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.053,18.0,276,44,15.94,3.22 (2.74-3.69),232,84.06,3.63 (3.38-3.87),7.68,4.62
oligodendrocytes 10,735.0,0.044,9.0,277,3,1.08,4.12 (3.43-4.80),274,98.92,3.89 (3.64-4.14),2.76,9.01
connective tissue cells 21,111.0,0.308,66.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,123.0,0.189,31.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,448.0,0.105,56.0,43,3,6.98,3.54 (3.18-3.91),40,93.02,3.26 (2.69-3.83),3.14,3.50
astrocytes microglia 23,109.0,0.32,61.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.108,37.0,238,11,4.62,3.25 (2.51-3.99),227,95.38,3.66 (3.43-3.89),5.76,4.99
microglia 1,958.0,0.116,58.0,290,20,6.9,2.96 (2.43-3.49),270,93.1,3.90 (3.65-4.14),5.05,5.00
oligodendrocytes 3,743.0,0.098,70.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.149,66.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
