tipo_celular,module_size,TOB1_MM,TOB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,518.0,0.252,91.0,131,4,3.05,3.73 (2.63-4.82),127,96.95,3.05 (2.77-3.33),3.67,4.79
astrocytes 5,423.0,0.166,60.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,666.0,0.168,52.0,127,8,6.3,2.32 (1.23-3.42),119,93.7,3.99 (3.65-4.33),4.37,5.94
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.318,82.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,295.0,0.135,27.0,28,5,17.86,3.52 (2.47-4.57),23,82.14,1.87 (1.46-2.29),1.88,3.33
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,577.0,0.1,61.0,83,4,4.82,2.52 (0.55-4.49),79,95.18,3.30 (2.84-3.76),2.10,4.59
oligodendrocyte progenitor cells 12,708.0,0.065,21.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,735.0,0.078,36.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,367.0,0.243,93.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,92.0,0.268,85.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.252,17.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.169,43.0,95,5,5.26,1.14 (0.66-1.61),90,94.74,3.50 (3.07-3.92),2.88,4.74
oligodendrocytes 0,2078.0,0.135,89.0,238,24,10.08,4.25 (3.58-4.91),214,89.92,3.55 (3.32-3.78),3.97,5.14
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.091,63.0,76,1,1.32,5.34 (NA-NA),75,98.68,3.13 (2.73-3.52),2.11,7.36
oligodendrocytes 2,1630.0,0.19,100.0,154,2,1.3,2.74 (2.69-2.78),152,98.7,3.25 (2.98-3.52),2.60,3.61
