tipo_celular,module_size,DDX1_MM,DDX1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.271,80.0,21,12,57.14,1.57 (0.94-2.20),9,42.86,3.39 (2.59-4.20),2.29,1.63
T cells 18,727,0.174,73.0,49,2,4.08,2.79 (2.27-3.31),47,95.92,2.41 (2.00-2.82),3.18,6.37
astrocytes 5,1656,0.132,77.0,136,14,10.29,2.78 (1.99-3.57),122,89.71,3.26 (2.98-3.55),5.51,4.93
oligodendrocyte progenitor cells 7,4285,0.127,37.0,353,88,24.93,2.47 (2.19-2.76),265,75.07,4.47 (4.29-4.65),17.96,4.78
GABA neurons expressing GLU receptors 22,848,0.07,3.0,262,25,9.54,2.80 (2.18-3.42),237,90.46,4.34 (4.08-4.60),4.24,4.09
GLU like neurons 17,1316,0.123,49.0,101,3,2.97,2.73 (2.53-2.94),98,97.03,3.06 (2.70-3.43),2.39,3.07
da like neurons 11,1220,0.164,44.0,410,27,6.59,3.36 (2.73-3.99),383,93.41,4.33 (4.14-4.52),9.78,7.36
GABA neurons expressing GABA receptors 13,357,0.21,70.0,237,2,0.84,4.09 (4.04-4.15),235,99.16,4.41 (4.18-4.65),5.08,4.18
endothelial cells 9,916,0.071,5.0,302,5,1.66,2.01 (0.44-3.59),297,98.34,4.03 (3.80-4.25),10.20,10.66
oligodendrocytes 20,250,0.167,44.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2402,0.371,76.0,455,58,12.75,2.69 (2.28-3.11),397,87.25,4.67 (4.49-4.86),16.84,7.67
astrocytes 8,520,0.166,64.0,288,20,6.94,2.87 (2.35-3.39),268,93.06,4.30 (4.10-4.51),6.11,4.58
oligodendrocyte progenitor cells 12,3303,0.038,6.0,276,58,21.01,2.34 (2.05-2.63),218,78.99,3.98 (3.73-4.22),10.02,3.80
oligodendrocytes 10,806,0.188,60.0,261,5,1.92,2.24 (1.55-2.94),256,98.08,4.42 (4.18-4.66),6.38,6.06
connective tissue cells 21,145,0.271,37.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,377,0.294,97.0,14,5,35.71,1.37 (0.15-2.58),9,64.29,2.90 (0.82-4.99),2.59,2.37
oligodendrocytes 16,81,0.287,89.0,11,1,9.09,NA,10,90.91,1.43 (0.65-2.21),1.90,1.53
da neurons 6,409,0.191,76.0,235,13,5.53,2.28 (1.74-2.82),222,94.47,4.12 (3.86-4.37),6.44,4.30
astrocytes microglia 23,118,0.24,7.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.129,23.0,104,39,37.5,2.19 (1.80-2.58),65,62.5,3.30 (2.95-3.65),9.05,3.21
oligodendrocytes 0,2078,0.114,50.0,238,16,6.72,3.05 (2.28-3.81),222,93.28,3.68 (3.45-3.91),7.07,4.87
microglia 1,214,0.091,9.0,227,2,0.88,2.68 (-0.04-5.40),225,99.12,4.11 (3.87-4.34),4.88,6.13
oligodendrocytes 3,743,0.095,66.0,76,6,7.89,5.31 (3.47-7.15),70,92.11,2.99 (2.62-3.36),2.55,7.69
oligodendrocytes 2,528,0.133,12.0,175,6,3.43,3.91 (1.75-6.08),169,96.57,4.40 (4.05-4.75),2.82,4.68
