tipo_celular,module_size,TMEM175_MM,TMEM175_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.096,21.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.072,2.0,353,17,4.82,1.39 (0.92-1.86),336,95.18,4.06 (3.88-4.23),28.20,7.05
GABA neurons expressing GLU receptors 22,703.0,0.094,7.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,1247.0,0.132,49.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853.0,0.152,64.0,133,6,4.51,0.72 (0.11-1.32),127,95.49,3.40 (3.09-3.70),6.33,4.06
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.1,37.0,169,15,8.88,2.90 (2.20-3.60),154,91.12,3.55 (3.32-3.78),4.83,5.42
GABA like neurons 14,2402.0,0.13,18.0,455,28,6.15,2.76 (2.17-3.35),427,93.85,4.48 (4.30-4.67),21.34,8.01
astrocytes 8,603.0,0.081,53.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,1049.0,0.045,13.0,235,15,6.38,3.73 (3.31-4.15),220,93.62,3.83 (3.58-4.08),3.80,7.87
oligodendrocytes 10,1277.0,0.022,1.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,338.0,0.205,82.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,155.0,0.263,73.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,101.0,0.326,59.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.136,34.0,104,7,6.73,2.03 (0.76-3.30),97,93.27,2.93 (2.64-3.21),9.46,5.10
oligodendrocytes 0,2078.0,0.069,1.0,238,3,1.26,1.48 (0.22-2.73),235,98.74,3.67 (3.45-3.89),7.48,4.99
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.036,1.0,154,1,0.65,NA,153,99.35,3.62 (3.30-3.94),1.74,11.91
oligodendrocytes 2,1630.0,0.118,12.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
