tipo_celular,module_size,CSNK1D_MM,CSNK1D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.275,85.0,8,1,12.5,2.91 (NA-NA),7,87.5,1.04 (0.29-1.79),2.04,5.05
T cells 18,477,0.263,91.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,932,0.096,30.0,80,4,5.0,4.16 (3.36-4.95),76,95.0,3.64 (3.21-4.07),1.97,4.43
oligodendrocyte progenitor cells 7,4285,0.154,78.0,353,90,25.5,2.87 (2.58-3.16),263,74.5,4.37 (4.17-4.58),16.33,5.23
GABA neurons expressing GLU receptors 22,1069,0.209,79.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,795,0.058,5.0,80,9,11.25,3.84 (3.27-4.42),71,88.75,5.99 (5.57-6.40),2.47,3.08
da like neurons 11,853,0.102,29.0,133,37,27.82,2.28 (1.85-2.71),96,72.18,3.73 (3.36-4.10),4.73,3.94
GABA neurons expressing GABA receptors 13,200,0.097,7.0,34,2,5.88,3.53 (3.29-3.77),32,94.12,3.92 (2.96-4.88),1.78,3.60
endothelial cells 9,412,0.103,17.0,141,6,4.26,1.74 (0.97-2.51),135,95.74,3.02 (2.78-3.26),4.61,6.92
oligodendrocytes 20,271,0.169,49.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402,0.089,6.0,455,68,14.95,3.39 (2.95-3.83),387,85.05,4.58 (4.39-4.78),13.90,7.94
astrocytes 8,1266,0.088,58.0,66,41,62.12,2.94 (2.44-3.45),25,37.88,3.84 (3.15-4.53),3.35,2.30
oligodendrocyte progenitor cells 12,3303,0.052,17.0,276,76,27.54,2.96 (2.67-3.24),200,72.46,3.85 (3.56-4.13),8.92,3.66
oligodendrocytes 10,735,0.074,33.0,277,2,0.72,4.92 (4.72-5.12),275,99.28,3.88 (3.64-4.13),2.79,8.99
connective tissue cells 21,77,0.294,53.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60),NA,3.00
astrocytes 15,1401,0.08,45.0,96,21,21.88,3.39 (2.84-3.94),75,78.12,3.69 (3.11-4.26),3.45,3.89
oligodendrocytes 16,85,0.163,18.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518,0.082,18.0,122,40,32.79,2.88 (2.44-3.32),82,67.21,4.79 (4.29-5.29),4.33,3.07
astrocytes microglia 23,122,0.327,65.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68),NA,1.70
astrocytes 4,721,0.169,81.0,61,10,16.39,3.54 (2.86-4.21),51,83.61,2.85 (2.37-3.32),3.00,6.61
oligodendrocytes 0,2078,0.127,76.0,238,26,10.92,3.42 (2.88-3.97),212,89.08,3.66 (3.43-3.90),5.36,4.98
microglia 1,480,0.203,56.0,163,20,12.27,4.01 (3.51-4.52),143,87.73,3.66 (3.36-3.96),3.76,5.36
oligodendrocytes 3,854,0.063,18.0,76,14,18.42,3.62 (2.79-4.45),62,81.58,2.64 (2.29-2.99),2.72,5.17
oligodendrocytes 2,1630,0.141,47.0,154,2,1.3,3.87 (1.60-6.13),152,98.7,3.24 (2.97-3.50),2.04,3.61
