tipo_celular,module_size,PHF20L1_MM,PHF20L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.171,40.0,102,33,32.35,2.71 (2.26-3.16),69,67.65,3.90 (3.43-4.37),3.55,2.79
T cells 18,518.0,0.172,62.0,131,3,2.29,2.60 (1.70-3.49),128,97.71,3.09 (2.80-3.37),2.70,4.80
astrocytes 5,1141.0,0.161,86.0,166,44,26.51,2.58 (2.17-2.99),122,73.49,3.76 (3.47-4.05),6.36,3.90
oligodendrocyte progenitor cells 7,4285.0,0.167,92.0,353,65,18.41,2.39 (2.08-2.71),288,81.59,4.35 (4.17-4.53),20.24,5.32
GABA neurons expressing GLU receptors 22,1069.0,0.116,17.0,37,6,16.22,2.19 (1.75-2.64),31,83.78,2.15 (1.61-2.69),2.39,3.24
GLU like neurons 17,1316.0,0.145,68.0,101,1,0.99,4.05 (NA-NA),100,99.01,3.04 (2.69-3.39),5.33,3.03
da like neurons 11,197.0,0.136,26.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.109,35.0,297,8,2.69,4.14 (2.76-5.52),289,97.31,3.66 (3.46-3.87),3.36,5.58
oligodendrocytes 20,330.0,0.159,46.0,36,20,55.56,2.22 (1.90-2.54),16,44.44,1.49 (0.83-2.16),2.94,3.36
GABA like neurons 14,3052.0,0.205,93.0,125,3,2.4,3.76 (3.19-4.34),122,97.6,3.34 (3.01-3.67),4.90,8.70
astrocytes 8,727.0,0.103,47.0,29,3,10.34,3.76 (3.19-4.34),26,89.66,2.18 (1.67-2.69),1.83,3.75
oligodendrocyte progenitor cells 12,3303.0,0.077,48.0,276,57,20.65,2.50 (2.18-2.82),219,79.35,3.91 (3.66-4.16),9.64,3.93
oligodendrocytes 10,2107.0,0.152,52.0,358,70,19.55,2.32 (2.02-2.62),288,80.45,4.40 (4.22-4.59),24.04,5.93
connective tissue cells 21,111.0,0.225,18.0,26,5,19.23,3.26 (2.46-4.05),21,80.77,2.28 (1.47-3.10),2.00,2.21
astrocytes 15,268.0,0.069,39.0,10,2,20.0,2.44 (1.43-3.45),8,80.0,4.11 (1.93-6.29),1.44,1.63
oligodendrocytes 16,123.0,0.135,7.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,140.0,0.19,2.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,787.0,0.146,40.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,1186.0,0.165,83.0,300,9,3.0,3.58 (2.58-4.57),291,97.0,3.80 (3.59-4.01),4.76,4.14
microglia 1,958.0,0.149,89.0,290,14,4.83,2.56 (1.91-3.21),276,95.17,3.90 (3.66-4.13),6.09,4.94
oligodendrocytes 3,1003.0,0.096,51.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921.0,0.143,63.0,200,8,4.0,3.51 (2.27-4.75),192,96.0,3.63 (3.35-3.90),4.54,3.42
