tipo_celular,module_size,TMX1_MM,TMX1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.216,52.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,518.0,0.178,65.0,131,5,3.82,4.08 (2.86-5.30),126,96.18,3.03 (2.75-3.31),2.81,4.83
astrocytes 5,1656.0,0.14,86.0,136,8,5.88,3.20 (2.52-3.88),128,94.12,3.21 (2.92-3.50),4.71,5.01
oligodendrocyte progenitor cells 7,4285.0,0.114,21.0,353,41,11.61,2.44 (1.98-2.90),312,88.39,4.15 (3.96-4.33),19.10,6.61
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.065,11.0,275,39,14.18,2.46 (2.00-2.91),236,85.82,4.34 (4.06-4.61),7.92,5.55
oligodendrocytes 20,358.0,0.25,83.0,31,5,16.13,3.58 (3.19-3.96),26,83.87,2.12 (1.66-2.57),1.96,4.19
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,218.0,0.053,26.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,1049.0,0.063,28.0,235,8,3.4,3.92 (3.03-4.80),227,96.6,3.82 (3.58-4.06),4.44,7.73
oligodendrocytes 10,483.0,0.16,64.0,129,1,0.78,3.96 (NA-NA),128,99.22,3.42 (3.03-3.82),2.60,19.32
connective tissue cells 21,125.0,0.262,33.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,377.0,0.319,98.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,69.0,0.238,74.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,135.0,0.389,88.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.187,99.0,104,21,20.19,2.43 (1.86-3.01),83,79.81,2.98 (2.66-3.30),8.41,4.63
oligodendrocytes 0,613.0,0.115,20.0,127,7,5.51,2.07 (1.61-2.52),120,94.49,3.15 (2.70-3.59),3.45,6.44
microglia 1,958.0,0.103,38.0,290,20,6.9,2.64 (2.15-3.14),270,93.1,3.93 (3.68-4.17),4.74,5.02
oligodendrocytes 3,681.0,0.058,14.0,87,23,26.44,2.21 (1.72-2.69),64,73.56,2.73 (2.41-3.06),4.08,4.30
oligodendrocytes 2,1630.0,0.176,97.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
