tipo_celular,module_size,HEG1_MM,HEG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218.0,0.206,47.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,393.0,0.146,47.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62),1.93,5.46
astrocytes 5,499.0,0.129,29.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,666.0,0.115,13.0,127,37,29.13,4.10 (3.51-4.69),90,70.87,3.66 (3.26-4.07),3.31,6.88
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.314,81.0,120,34,28.33,3.94 (3.45-4.43),86,71.67,4.91 (4.53-5.30),4.23,3.42
oligodendrocytes 20,358.0,0.137,43.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,354.0,0.088,27.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,708.0,0.063,20.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,1277.0,0.122,60.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,338.0,0.124,30.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,199.0,0.171,55.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,70.0,0.378,85.0,1,1,100.0,8.28 (NA-NA),0,0.0,NA,1.53,NA
astrocytes 4,514.0,0.109,6.0,95,6,6.32,1.95 (0.62-3.28),89,93.68,3.50 (3.07-3.93),2.88,4.76
oligodendrocytes 0,2078.0,0.1,22.0,238,6,2.52,2.63 (1.55-3.71),232,97.48,3.67 (3.44-3.89),5.80,5.00
microglia 1,958.0,0.088,15.0,290,17,5.86,2.97 (2.32-3.62),273,94.14,3.88 (3.64-4.12),5.92,4.94
oligodendrocytes 3,242.0,0.202,78.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,347.0,0.204,55.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
