tipo_celular,module_size,BBS2_MM,BBS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,349.0,0.151,38.0,68,21,30.88,3.27 (2.61-3.94),47,69.12,5.05 (4.34-5.77),2.95,3.48
astrocytes 5,1141.0,0.124,39.0,166,11,6.63,2.31 (1.33-3.29),155,93.37,3.47 (3.21-3.72),3.77,4.60
oligodendrocyte progenitor cells 7,4285.0,0.088,4.0,353,39,11.05,2.67 (2.18-3.17),314,88.95,4.09 (3.90-4.28),16.40,7.03
GABA neurons expressing GLU receptors 22,203.0,0.271,53.0,12,2,16.67,8.28 (NA-NA),10,83.33,1.79 (0.84-2.75),1.84,4.19
GLU like neurons 17,637.0,0.083,13.0,91,24,26.37,2.67 (1.98-3.36),67,73.63,5.58 (5.08-6.07),3.24,2.99
da like neurons 11,408.0,0.2,56.0,25,7,28.0,1.20 (0.74-1.66),18,72.0,6.45 (5.43-7.48),2.24,2.29
GABA neurons expressing GABA receptors 13,288.0,0.149,39.0,93,29,31.18,4.18 (3.40-4.96),64,68.82,5.78 (5.20-6.35),3.82,4.01
endothelial cells 9,450.0,0.216,53.0,74,12,16.22,4.60 (3.70-5.49),62,83.78,5.72 (5.07-6.36),3.61,3.64
oligodendrocytes 20,403.0,0.225,84.0,18,6,33.33,0.97 (0.25-1.68),12,66.67,2.33 (1.48-3.19),5.14,3.12
GABA like neurons 14,3052.0,0.147,57.0,125,5,4.0,4.34 (3.93-4.76),120,96.0,3.31 (2.98-3.64),3.04,8.85
astrocytes 8,1266.0,0.071,38.0,66,21,31.82,2.40 (1.69-3.12),45,68.18,3.67 (3.21-4.13),3.32,2.78
oligodendrocyte progenitor cells 12,218.0,0.4,93.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,1277.0,0.14,69.0,27,2,7.41,7.31 (5.40-9.21),25,92.59,5.17 (4.28-6.06),2.22,6.71
connective tissue cells 21,92.0,0.345,76.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.134,85.0,105,13,12.38,2.30 (1.53-3.07),92,87.62,3.35 (2.99-3.71),4.23,3.94
oligodendrocytes 16,84.0,0.182,56.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,398.0,0.098,21.0,138,31,22.46,3.52 (2.92-4.13),107,77.54,5.29 (4.88-5.70),2.95,2.67
astrocytes microglia 23,100.0,0.216,12.0,9,0,0.0,NA,9,100.0,3.95 (2.94-4.96),NA,1.72
astrocytes 4,752.0,0.141,31.0,96,8,8.33,3.33 (2.26-4.40),88,91.67,3.29 (2.94-3.63),2.69,4.47
oligodendrocytes 0,613.0,0.203,90.0,127,8,6.3,3.55 (3.13-3.98),119,93.7,3.01 (2.56-3.46),3.58,6.46
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.209,96.0,87,10,11.49,1.63 (0.90-2.35),77,88.51,2.69 (2.41-2.97),3.70,4.31
oligodendrocytes 2,407.0,0.205,87.0,122,18,14.75,1.95 (1.23-2.67),104,85.25,3.65 (3.23-4.06),2.80,2.68
