tipo_celular,module_size,YBX1_MM,YBX1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.266,55.0,98,21,21.43,2.28 (1.71-2.85),77,78.57,3.52 (2.95-4.10),18.84,11.99
T cells 18,282.0,0.199,69.0,12,5,41.67,5.17 (4.63-5.71),7,58.33,1.97 (0.93-3.01),2.36,7.52
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.316,91.0,108,2,1.85,3.24 (2.29-4.19),106,98.15,3.26 (2.81-3.70),37.11,16.74
GABA neurons expressing GLU receptors 22,848.0,0.099,6.0,262,32,12.21,3.12 (2.54-3.70),230,87.79,4.31 (4.05-4.57),6.91,3.71
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.075,6.0,410,35,8.54,3.34 (2.86-3.83),375,91.46,4.34 (4.14-4.54),14.31,6.88
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.356,79.0,302,8,2.65,2.70 (1.57-3.82),294,97.35,4.02 (3.79-4.25),8.05,10.72
oligodendrocytes 20,275.0,0.148,29.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402.0,0.064,2.0,455,59,12.97,2.82 (2.36-3.29),396,87.03,4.63 (4.44-4.81),18.73,7.36
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.372,95.0,235,16,6.81,3.86 (3.11-4.62),219,93.19,3.82 (3.58-4.06),15.75,7.02
oligodendrocytes 10,483.0,0.26,79.0,129,6,4.65,4.49 (2.95-6.03),123,95.35,3.36 (2.96-3.76),26.05,18.86
connective tissue cells 21,142.0,0.382,83.0,55,13,23.64,2.47 (1.61-3.32),42,76.36,4.24 (2.98-5.50),2.54,3.52
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,92.0,0.289,87.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,112.0,0.392,86.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.191,63.0,252,40,15.87,2.20 (1.75-2.66),212,84.13,4.52 (4.28-4.76),17.25,6.51
microglia 1,406.0,0.333,72.0,278,4,1.44,4.30 (3.14-5.45),274,98.56,4.36 (4.09-4.64),23.05,6.50
oligodendrocytes 3,743.0,0.105,76.0,76,4,5.26,3.84 (2.20-5.48),72,94.74,3.13 (2.72-3.54),3.06,7.52
oligodendrocytes 2,526.0,0.199,29.0,213,3,1.41,4.28 (3.42-5.14),210,98.59,3.97 (3.69-4.25),23.72,7.71
