tipo_celular,module_size,RHOB_MM,RHOB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.258,81.0,128,8,6.25,5.14 (4.26-6.02),120,93.75,3.42 (3.07-3.77),2.94,7.02
oligodendrocyte progenitor cells 7,666.0,0.222,80.0,127,22,17.32,2.55 (1.92-3.17),105,82.68,4.13 (3.77-4.48),3.95,6.23
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.276,63.0,62,3,4.84,4.79 (2.48-7.11),59,95.16,4.00 (3.55-4.46),2.61,4.29
oligodendrocytes 20,938.0,0.155,64.0,169,27,15.98,3.10 (2.53-3.66),142,84.02,3.54 (3.31-3.78),6.48,5.15
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.162,84.0,89,3,3.37,2.91 (0.95-4.88),86,96.63,2.75 (2.39-3.11),4.31,6.10
oligodendrocyte progenitor cells 12,708.0,0.241,81.0,32,18,56.25,2.10 (1.40-2.79),14,43.75,4.78 (3.58-5.97),3.00,2.07
oligodendrocytes 10,735.0,0.062,23.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,139.0,0.338,74.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73),NA,2.05
astrocytes 15,1768.0,0.135,86.0,105,15,14.29,1.91 (1.49-2.33),90,85.71,3.45 (3.08-3.82),4.43,3.90
oligodendrocytes 16,90.0,0.149,9.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09),NA,1.80
da neurons 6,448.0,0.108,58.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,190.0,0.198,7.0,7,2,28.57,6.29 (4.53-8.04),5,71.43,4.11 (3.48-4.75),1.52,1.92
astrocytes 4,208.0,0.378,91.0,173,10,5.78,3.95 (3.41-4.49),163,94.22,3.79 (3.47-4.10),4.73,5.68
oligodendrocytes 0,2078.0,0.148,98.0,238,10,4.2,2.49 (1.73-3.24),228,95.8,3.70 (3.47-3.92),6.68,4.95
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,94.0,0.102,56.0,7,1,14.29,NA,6,85.71,5.62 (2.52-8.73),1.34,4.24
oligodendrocytes 2,528.0,0.312,87.0,175,34,19.43,3.55 (3.11-3.98),141,80.57,4.60 (4.18-5.01),7.97,3.81
