tipo_celular,module_size,ARPC5_MM,ARPC5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.194,80.0,71,4,5.63,1.55 (0.65-2.46),67,94.37,2.70 (2.27-3.13),1.85,3.68
T cells 18,506.0,0.193,54.0,225,29,12.89,3.36 (2.60-4.13),196,87.11,3.64 (3.37-3.90),14.02,7.00
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.146,67.0,353,23,6.52,1.82 (1.14-2.50),330,93.48,4.08 (3.90-4.26),31.10,6.46
GABA neurons expressing GLU receptors 22,567.0,0.357,87.0,16,3,18.75,2.09 (1.81-2.36),13,81.25,1.95 (1.17-2.74),1.56,4.11
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.083,8.0,410,23,5.61,2.70 (1.86-3.54),387,94.39,4.30 (4.11-4.48),15.76,7.03
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.114,19.0,302,17,5.63,2.91 (1.88-3.93),285,94.37,4.02 (3.79-4.25),8.74,10.77
oligodendrocytes 20,938.0,0.227,87.0,169,24,14.2,2.94 (2.07-3.82),145,85.8,3.53 (3.31-3.76),7.16,5.07
GABA like neurons 14,2402.0,0.285,63.0,455,34,7.47,2.04 (1.42-2.66),421,92.53,4.50 (4.32-4.68),22.51,7.73
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.073,36.0,235,14,5.96,3.46 (3.04-3.87),221,94.04,3.84 (3.60-4.08),9.78,7.48
oligodendrocytes 10,483.0,0.156,63.0,129,8,6.2,4.21 (3.48-4.94),121,93.8,3.39 (2.98-3.80),15.52,19.43
connective tissue cells 21,301.0,0.332,39.0,158,12,7.59,2.15 (1.19-3.11),146,92.41,4.38 (4.01-4.75),14.13,6.49
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,64.0,0.168,29.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA),NA,1.77
da neurons 6,729.0,0.071,8.0,182,5,2.75,2.04 (1.12-2.95),177,97.25,3.67 (3.42-3.92),10.38,8.47
astrocytes microglia 23,135.0,0.305,45.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.177,55.0,252,35,13.89,2.25 (1.61-2.90),217,86.11,4.33 (4.08-4.58),15.95,6.96
microglia 1,406.0,0.172,46.0,278,2,0.72,4.07 (1.91-6.22),276,99.28,4.36 (4.09-4.64),21.46,6.63
oligodendrocytes 3,743.0,0.12,85.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528.0,0.299,85.0,175,22,12.57,3.99 (3.47-4.51),153,87.43,4.41 (4.03-4.78),10.20,3.82
