tipo_celular,module_size,USPL1_MM,USPL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.124,20.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,477.0,0.22,81.0,43,1,2.33,NA,42,97.67,2.03 (1.52-2.53),1.80,7.25
astrocytes 5,423.0,0.141,44.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,666.0,0.422,96.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17),NA,5.84
GABA neurons expressing GLU receptors 22,823.0,0.15,32.0,23,5,21.74,2.59 (1.55-3.63),18,78.26,2.34 (1.44-3.24),2.32,3.73
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,142.0,0.055,2.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.122,64.0,275,26,9.45,1.50 (1.16-1.84),249,90.55,4.32 (4.07-4.58),15.71,4.86
oligodendrocytes 20,938.0,0.031,5.0,169,9,5.33,2.43 (1.37-3.49),160,94.67,3.55 (3.33-3.77),4.76,5.40
GABA like neurons 14,3052.0,0.141,52.0,125,2,1.6,3.00 (NA-NA),123,98.4,3.36 (3.03-3.68),3.38,8.70
astrocytes 8,577.0,0.138,77.0,83,4,4.82,2.89 (2.52-3.25),79,95.18,3.27 (2.80-3.74),2.86,4.55
oligodendrocyte progenitor cells 12,708.0,0.066,22.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,2107.0,0.174,60.0,358,41,11.45,2.03 (1.59-2.47),317,88.55,4.17 (3.98-4.35),31.54,6.62
connective tissue cells 21,86.0,0.28,51.0,7,2,28.57,3.30 (2.61-3.99),5,71.43,3.16 (2.11-4.22),1.55,1.45
astrocytes 15,1401.0,0.107,68.0,96,1,1.04,2.23 (NA-NA),95,98.96,3.63 (3.18-4.08),6.66,3.77
oligodendrocytes 16,94.0,0.265,81.0,5,1,20.0,3.65 (NA-NA),4,80.0,2.64 (1.13-4.14),1.76,1.89
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,327.0,0.306,41.0,120,4,3.33,0.86 (0.11-1.61),116,96.67,3.73 (3.44-4.02),2.90,2.79
astrocytes 4,514.0,0.273,80.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,2078.0,0.127,76.0,238,16,6.72,3.36 (2.39-4.33),222,93.28,3.66 (3.43-3.88),8.38,4.78
microglia 1,958.0,0.236,100.0,290,6,2.07,2.29 (1.35-3.23),284,97.93,3.84 (3.61-4.07),5.89,4.98
oligodendrocytes 3,1003.0,0.055,9.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.143,51.0,154,3,1.95,5.64 (NA-NA),151,98.05,3.23 (2.96-3.49),2.83,3.61
