tipo_celular,module_size,RAB3IP_MM,RAB3IP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.157,54.0,142,2,1.41,NA,140,98.59,3.21 (2.94-3.48),7.22,4.26
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.161,86.0,353,36,10.2,2.59 (2.02-3.16),317,89.8,4.07 (3.89-4.26),18.88,6.84
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,685.0,0.083,17.0,135,11,8.15,2.45 (1.79-3.10),124,91.85,3.27 (2.94-3.60),3.49,3.77
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.047,15.0,18,6,33.33,0.66 (0.40-0.92),12,66.67,2.48 (1.67-3.30),6.16,2.61
GABA like neurons 14,3052.0,0.073,6.0,125,6,4.8,4.34 (3.93-4.76),119,95.2,3.31 (2.98-3.64),3.40,8.88
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,218.0,0.279,54.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,1277.0,0.099,45.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,108.0,0.094,1.0,5,3,60.0,4.63 (3.58-5.68),2,40.0,2.99 (1.95-4.03),3.15,1.60
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,187.0,0.143,33.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.114,67.0,111,2,1.8,5.76 (3.97-7.55),109,98.2,3.25 (2.91-3.59),2.37,4.27
oligodendrocytes 2,921.0,0.164,88.0,200,8,4.0,3.28 (2.49-4.07),192,96.0,3.64 (3.36-3.91),3.07,3.48
