tipo_celular,module_size,MCF2L_MM,MCF2L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.314,71.0,140,9,6.43,2.55 (2.04-3.06),131,93.57,4.68 (4.39-4.96),6.20,3.36
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.111,18.0,353,9,2.55,2.22 (0.93-3.52),344,97.45,3.95 (3.76-4.13),23.04,7.67
GABA neurons expressing GLU receptors 22,1069.0,0.138,30.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247.0,0.171,73.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.133,52.0,133,2,1.5,1.86 (-1.39-5.11),131,98.5,3.28 (2.97-3.59),5.06,4.15
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.423,95.0,120,18,15.0,3.79 (2.93-4.64),102,85.0,4.76 (4.42-5.09),5.81,3.27
oligodendrocytes 20,250.0,0.159,39.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,1300.0,0.292,86.0,306,24,7.84,3.18 (2.35-4.00),282,92.16,5.32 (5.06-5.58),5.63,6.80
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.083,56.0,276,6,2.17,1.45 (0.88-2.02),270,97.83,3.60 (3.38-3.82),5.56,5.10
oligodendrocytes 10,2107.0,0.199,69.0,358,15,4.19,1.99 (1.10-2.89),343,95.81,3.96 (3.77-4.15),13.84,9.28
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,87.0,0.159,32.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,229.0,0.384,77.0,99,3,3.03,5.97 (4.39-7.56),96,96.97,4.24 (3.90-4.57),6.27,3.14
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,309.0,0.135,51.0,30,2,6.67,5.16 (5.16-5.16),28,93.33,6.18 (5.53-6.83),2.64,2.89
microglia 1,315.0,0.219,71.0,144,5,3.47,4.77 (1.77-7.76),139,96.53,4.45 (4.14-4.75),5.32,4.17
oligodendrocytes 3,854.0,0.132,85.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,131.0,0.266,83.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52),1.90,4.03
