tipo_celular,module_size,C2CD3_MM,C2CD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.076,5.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,727.0,0.181,78.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1656.0,0.119,56.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.178,97.0,353,27,7.65,2.27 (1.75-2.79),326,92.35,4.05 (3.87-4.24),17.75,7.26
GABA neurons expressing GLU receptors 22,1069.0,0.21,80.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1316.0,0.126,53.0,101,2,1.98,2.89 (2.81-2.97),99,98.02,3.06 (2.70-3.41),2.03,3.07
da like neurons 11,853.0,0.172,73.0,133,10,7.52,2.05 (1.12-2.98),123,92.48,3.37 (3.05-3.70),3.87,4.19
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.119,43.0,297,6,2.02,3.04 (2.82-3.27),291,97.98,3.68 (3.47-3.88),5.68,5.51
oligodendrocytes 20,250.0,0.028,5.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,3052.0,0.176,80.0,125,6,4.8,4.34 (3.93-4.76),119,95.2,3.31 (2.98-3.64),3.40,8.88
astrocytes 8,1266.0,0.056,22.0,66,18,27.27,2.37 (1.60-3.15),48,72.73,3.56 (3.09-4.02),3.51,2.74
oligodendrocyte progenitor cells 12,3303.0,0.08,52.0,276,12,4.35,2.59 (1.79-3.38),264,95.65,3.59 (3.37-3.81),6.00,5.07
oligodendrocytes 10,2107.0,0.085,21.0,358,25,6.98,2.15 (1.61-2.70),333,93.02,4.01 (3.82-4.21),15.24,9.04
connective tissue cells 21,91.0,0.267,32.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44),NA,2.51
astrocytes 15,1768.0,0.062,25.0,105,9,8.57,2.22 (1.33-3.11),96,91.43,3.31 (2.96-3.67),3.72,4.00
oligodendrocytes 16,75.0,0.292,92.0,1,0,0.0,NA,1,100.0,NA,NA,1.70
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,124.0,0.267,22.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,787.0,0.154,56.0,65,6,9.23,4.26 (3.54-4.98),59,90.77,2.82 (2.41-3.23),2.66,6.06
oligodendrocytes 0,2078.0,0.131,84.0,238,4,1.68,1.48 (0.22-2.73),234,98.32,3.67 (3.45-3.89),6.05,5.00
microglia 1,346.0,0.09,7.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,681.0,0.095,50.0,87,5,5.75,1.83 (0.89-2.78),82,94.25,2.63 (2.35-2.91),3.72,4.27
oligodendrocytes 2,921.0,0.148,70.0,200,5,2.5,2.96 (2.11-3.82),195,97.5,3.64 (3.37-3.91),2.99,3.48
