tipo_celular,module_size,GABRB3_MM,GABRB3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,156.0,0.109,22.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.095,16.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,459.0,0.136,38.0,165,28,16.97,3.48 (2.66-4.30),137,83.03,5.44 (5.10-5.78),4.21,4.07
GLU like neurons 17,1316.0,0.16,78.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41),2.05,3.06
da like neurons 11,204.0,0.269,78.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,200.0,0.223,88.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.213,53.0,306,47,15.36,3.46 (2.90-4.01),259,84.64,5.51 (5.25-5.78),10.35,6.05
astrocytes 8,1266.0,0.069,36.0,66,7,10.61,2.18 (1.01-3.35),59,89.39,3.37 (2.93-3.81),2.93,2.95
oligodendrocyte progenitor cells 12,103.0,0.444,41.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31),NA,2.84
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.106,68.0,105,6,5.71,1.16 (0.57-1.75),99,94.29,3.35 (3.01-3.68),5.89,3.86
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.106,32.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58),NA,3.03
astrocytes microglia 23,96.0,0.332,63.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03),NA,5.42
astrocytes 4,787.0,0.105,2.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
