tipo_celular,module_size,SREBF1_MM,SREBF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.323,94.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.073,5.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,200.0,0.215,68.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,714.0,0.185,52.0,17,6,35.29,2.59 (2.11-3.07),11,64.71,2.15 (1.28-3.02),2.33,4.24
GLU like neurons 17,1316.0,0.117,45.0,101,5,4.95,5.14 (3.15-7.13),96,95.05,2.94 (2.60-3.28),3.36,3.04
da like neurons 11,853.0,0.094,22.0,133,50,37.59,2.10 (1.82-2.37),83,62.41,4.17 (3.78-4.56),5.27,3.50
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,221.0,0.176,40.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2090.0,0.158,53.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60),3.24,12.34
astrocytes 8,1266.0,0.144,86.0,66,22,33.33,1.90 (1.40-2.39),44,66.67,4.00 (3.57-4.43),3.77,2.54
oligodendrocyte progenitor cells 12,708.0,0.198,76.0,25,5,20.0,5.01 (2.54-7.47),20,80.0,2.20 (1.38-3.02),2.17,2.63
oligodendrocytes 10,1277.0,0.116,55.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,106.0,0.356,85.0,9,3,33.33,4.15 (0.31-8.00),6,66.67,3.17 (-1.18-7.52),1.83,2.50
astrocytes 15,1401.0,0.049,17.0,96,11,11.46,3.12 (1.92-4.32),85,88.54,3.68 (3.20-4.17),3.41,3.85
oligodendrocytes 16,82.0,0.201,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,190.0,0.217,17.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,251.0,0.165,51.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06),2.75,3.09
oligodendrocytes 0,479.0,0.146,45.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,480.0,0.14,23.0,163,7,4.29,4.31 (1.85-6.78),156,95.71,3.68 (3.42-3.94),3.67,5.24
oligodendrocytes 3,1003.0,0.096,52.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65),1.70,4.25
oligodendrocytes 2,348.0,0.156,30.0,114,2,1.75,3.31 (2.55-4.07),112,98.25,5.16 (4.74-5.58),2.06,4.43
