tipo_celular,module_size,ZNRF3_MM,ZNRF3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,118.0,0.248,74.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,200.0,0.187,55.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04),1.49,4.68
GABA neurons expressing GLU receptors 22,599.0,0.324,90.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,685.0,0.214,80.0,135,17,12.59,2.13 (1.58-2.67),118,87.41,3.38 (3.04-3.71),4.18,3.69
da like neurons 11,408.0,0.105,25.0,25,4,16.0,1.16 (0.64-1.68),21,84.0,5.48 (4.15-6.81),1.99,2.33
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.189,86.0,297,11,3.7,4.06 (3.15-4.97),286,96.3,3.66 (3.46-3.87),9.39,5.37
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.207,82.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,279.0,0.36,91.0,78,17,21.79,3.19 (2.51-3.88),61,78.21,4.70 (4.23-5.16),2.81,2.68
oligodendrocyte progenitor cells 12,3303.0,0.121,90.0,276,29,10.51,2.87 (2.30-3.44),247,89.49,3.63 (3.40-3.86),9.93,4.54
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,147.0,0.335,91.0,4,2,50.0,5.73 (5.42-6.03),2,50.0,4.95 (4.74-5.17),1.55,5.80
astrocytes 15,208.0,0.357,70.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.188,4.0,6,0,0.0,NA,6,100.0,5.75 (NA-NA),NA,2.04
astrocytes 4,514.0,0.191,55.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92),3.45,4.69
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
