tipo_celular,module_size,MYO19_MM,MYO19_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.036,0.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,727.0,0.102,19.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,1656.0,0.108,37.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.11,17.0,353,31,8.78,2.17 (1.70-2.65),322,91.22,4.11 (3.93-4.29),20.41,6.87
GABA neurons expressing GLU receptors 22,1069.0,0.189,68.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247.0,0.186,78.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853.0,0.126,47.0,133,15,11.28,2.37 (1.43-3.31),118,88.72,3.39 (3.07-3.71),4.16,4.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,221.0,0.672,100.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2090.0,0.136,37.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,1266.0,0.061,27.0,66,18,27.27,1.92 (1.26-2.57),48,72.73,3.83 (3.42-4.25),3.61,2.70
oligodendrocyte progenitor cells 12,708.0,0.067,27.0,32,11,34.38,1.48 (0.80-2.15),21,65.62,4.39 (3.48-5.30),3.59,2.08
oligodendrocytes 10,2107.0,0.15,51.0,358,28,7.82,1.87 (1.41-2.33),330,92.18,4.10 (3.91-4.28),18.59,8.70
connective tissue cells 21,111.0,0.304,60.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.098,62.0,96,16,16.67,4.21 (3.29-5.14),80,83.33,3.48 (2.98-3.99),4.83,3.59
oligodendrocytes 16,88.0,0.304,97.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.364,81.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,787.0,0.158,62.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.108,36.0,238,6,2.52,2.29 (1.29-3.29),232,97.48,3.68 (3.45-3.90),8.95,4.92
microglia 1,813.0,0.087,13.0,79,2,2.53,2.30 (1.21-3.40),77,97.47,3.12 (2.71-3.54),3.89,8.01
oligodendrocytes 3,639.0,0.042,3.0,15,6,40.0,1.13 (0.32-1.93),9,60.0,5.19 (3.92-6.45),2.58,1.98
oligodendrocytes 2,1630.0,0.138,42.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53),4.07,3.59
