tipo_celular,module_size,SDS_MM,SDS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.431,99.0,80,3,3.75,4.78 (4.78-4.78),77,96.25,3.34 (2.85-3.83),1.85,5.14
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,577.0,0.272,97.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72),4.43,4.47
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,458.0,0.136,69.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,80.0,0.285,23.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.39,95.0,95,4,4.21,3.91 (2.20-5.62),91,95.79,3.34 (2.90-3.77),1.80,4.77
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
