tipo_celular,module_size,TPST2_MM,TPST2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.196,82.0,71,3,4.23,1.62 (-0.10-3.33),68,95.77,2.67 (2.25-3.10),1.82,3.65
T cells 18,393.0,0.159,54.0,59,2,3.39,3.09 (2.64-3.53),57,96.61,3.11 (2.59-3.63),2.89,5.43
astrocytes 5,423.0,0.114,24.0,80,2,2.5,4.78 (4.78-4.78),78,97.5,3.36 (2.88-3.84),1.88,5.10
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,823.0,0.111,12.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24),1.97,3.73
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.264,77.0,155,1,0.65,NA,154,99.35,4.34 (3.97-4.70),3.23,4.34
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,577.0,0.08,46.0,83,3,3.61,2.89 (2.52-3.25),80,96.39,3.27 (2.80-3.74),3.21,4.52
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.04,8.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,112.0,0.312,46.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.168,42.0,95,2,2.11,4.78 (4.78-4.78),93,97.89,3.33 (2.90-3.76),1.86,4.70
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,958.0,0.136,81.0,290,4,1.38,3.16 (2.37-3.95),286,98.62,3.83 (3.59-4.06),5.43,4.99
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
