tipo_celular,module_size,TRAF3IP2_MM,TRAF3IP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.14,34.0,58,13,22.41,2.89 (2.31-3.47),45,77.59,4.59 (4.13-5.05),2.18,2.36
oligodendrocyte progenitor cells 7,4285.0,0.1,9.0,353,23,6.52,2.58 (1.83-3.32),330,93.48,3.98 (3.79-4.16),15.40,7.55
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.091,9.0,120,21,17.5,3.01 (2.69-3.34),99,82.5,4.98 (4.65-5.32),5.46,3.27
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,262.0,0.129,48.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,411.0,0.082,43.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.06,25.0,96,2,2.08,1.93 (1.64-2.21),94,97.92,3.66 (3.20-4.11),1.81,3.84
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,49.0,0.369,61.0,1,0,0.0,NA,1,100.0,6.09 (NA-NA),NA,1.31
astrocytes 4,721.0,0.154,54.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
