tipo_celular,module_size,RRAGC_MM,RRAGC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.133,30.0,410,42,10.24,3.66 (3.15-4.18),368,89.76,4.32 (4.12-4.52),7.39,7.53
GABA neurons expressing GABA receptors 13,77.0,0.154,40.0,3,1,33.33,NA,2,66.67,1.59 (0.34-2.85),1.56,2.18
endothelial cells 9,385.0,0.074,17.0,275,56,20.36,2.26 (1.92-2.60),219,79.64,4.57 (4.30-4.84),10.15,4.79
oligodendrocytes 20,295.0,0.167,41.0,28,5,17.86,2.74 (1.84-3.63),23,82.14,2.06 (1.54-2.58),1.90,3.33
GABA like neurons 14,2402.0,0.256,57.0,455,53,11.65,2.69 (2.20-3.19),402,88.35,4.60 (4.41-4.78),15.06,8.01
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,806.0,0.116,33.0,261,27,10.34,3.31 (2.81-3.80),234,89.66,4.48 (4.22-4.74),6.12,6.06
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,74.0,0.181,40.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA),NA,1.76
da neurons 6,307.0,0.091,23.0,95,1,1.05,4.08 (NA-NA),94,98.95,4.86 (4.41-5.30),1.36,3.38
astrocytes microglia 23,78.0,0.402,90.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54),NA,4.03
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.095,14.0,238,15,6.3,3.14 (2.25-4.03),223,93.7,3.68 (3.45-3.90),7.36,4.86
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.064,16.0,345,39,11.3,3.76 (3.30-4.22),306,88.7,4.35 (4.12-4.58),6.54,5.58
oligodendrocytes 2,1630.0,0.18,99.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
