tipo_celular,module_size,CCT6A_MM,CCT6A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.322,95.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,477.0,0.141,36.0,43,1,2.33,8.28 (NA-NA),42,97.67,1.85 (1.47-2.22),1.31,7.26
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.137,53.0,353,53,15.01,2.24 (1.88-2.60),300,84.99,4.28 (4.10-4.46),17.86,6.33
GABA neurons expressing GLU receptors 22,703.0,0.182,48.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.227,65.0,410,55,13.41,4.51 (3.82-5.21),355,86.59,4.22 (4.02-4.41),9.63,7.19
GABA neurons expressing GABA receptors 13,357.0,0.167,53.0,237,4,1.69,4.41 (3.99-4.83),233,98.31,4.41 (4.17-4.65),5.78,4.16
endothelial cells 9,385.0,0.202,91.0,275,101,36.73,3.37 (2.87-3.87),174,63.27,4.29 (4.02-4.57),7.62,4.87
oligodendrocytes 20,250.0,0.132,25.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2402.0,0.423,82.0,455,58,12.75,3.43 (2.75-4.12),397,87.25,4.47 (4.29-4.66),15.39,7.88
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.028,2.0,276,41,14.86,2.12 (1.80-2.45),235,85.14,3.88 (3.64-4.11),7.22,4.74
oligodendrocytes 10,735.0,0.221,92.0,277,33,11.91,6.44 (5.79-7.09),244,88.09,3.76 (3.52-4.00),3.13,9.73
connective tissue cells 21,111.0,0.409,93.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,158.0,0.192,45.0,30,2,6.67,3.03 (0.90-5.17),28,93.33,2.27 (1.59-2.96),1.82,12.75
da neurons 6,409.0,0.178,73.0,235,52,22.13,4.98 (4.35-5.61),183,77.87,3.75 (3.50-4.01),5.62,4.07
astrocytes microglia 23,94.0,0.321,45.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.111,17.0,127,45,35.43,3.00 (2.38-3.62),82,64.57,3.07 (2.55-3.59),3.59,7.75
microglia 1,958.0,0.113,52.0,290,42,14.48,4.07 (3.36-4.77),248,85.52,3.77 (3.53-4.00),5.14,4.98
oligodendrocytes 3,457.0,0.113,49.0,345,72,20.87,4.76 (4.25-5.27),273,79.13,4.17 (3.95-4.40),7.84,5.13
oligodendrocytes 2,528.0,0.178,36.0,175,54,30.86,5.21 (4.56-5.87),121,69.14,4.12 (3.72-4.51),5.24,4.34
