tipo_celular,module_size,NUDCD3_MM,NUDCD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.093,8.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,282,0.135,38.0,241,4,1.66,4.80 (2.57-7.04),237,98.34,4.04 (3.78-4.29),3.26,4.36
astrocytes 5,932,0.063,1.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.117,24.0,353,31,8.78,1.89 (1.46-2.32),322,91.22,4.15 (3.97-4.33),21.91,6.73
GABA neurons expressing GLU receptors 22,400,0.253,80.0,24,11,45.83,1.83 (1.03-2.64),13,54.17,2.43 (1.79-3.07),4.05,3.19
GLU like neurons 17,1316,0.158,77.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41),2.05,3.06
da like neurons 11,109,0.194,40.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,265,0.145,42.0,78,2,2.56,2.74 (1.28-4.20),76,97.44,4.41 (4.00-4.83),4.91,4.25
endothelial cells 9,1653,0.054,2.0,297,2,0.67,NA,295,99.33,3.67 (3.47-3.88),1.99,5.54
oligodendrocytes 20,298,0.163,58.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2402,0.232,51.0,455,24,5.27,2.34 (1.53-3.15),431,94.73,4.49 (4.31-4.67),21.00,8.16
astrocytes 8,283,0.172,68.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303,0.083,56.0,276,19,6.88,1.96 (1.44-2.49),257,93.12,3.70 (3.48-3.92),9.96,4.75
oligodendrocytes 10,806,0.046,6.0,261,9,3.45,4.36 (3.19-5.52),252,96.55,4.37 (4.12-4.61),4.40,6.12
connective tissue cells 21,111,0.265,44.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,1401,0.112,72.0,96,10,10.42,3.03 (2.34-3.72),86,89.58,3.70 (3.19-4.20),4.97,3.66
oligodendrocytes 16,158,0.259,82.0,30,2,6.67,3.03 (0.90-5.17),28,93.33,2.27 (1.59-2.96),1.82,12.75
da neurons 6,300,0.088,12.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,122,0.18,9.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59),NA,3.21
astrocytes 4,721,0.114,5.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,1186,0.106,7.0,300,4,1.33,3.35 (2.44-4.26),296,98.67,3.80 (3.59-4.00),1.74,4.19
microglia 1,813,0.099,28.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,681,0.058,14.0,87,13,14.94,1.31 (1.07-1.56),74,85.06,2.83 (2.54-3.11),3.53,4.37
oligodendrocytes 2,921,0.068,1.0,200,6,3.0,2.52 (1.74-3.31),194,97.0,3.66 (3.39-3.94),3.93,3.45
