tipo_celular,module_size,PIM3_MM,PIM3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,88.0,0.138,38.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,559.0,0.118,33.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,403.0,0.184,72.0,18,5,27.78,1.60 (0.76-2.43),13,72.22,1.99 (1.09-2.88),3.00,4.10
GABA like neurons 14,2402.0,0.245,54.0,455,19,4.18,3.30 (2.30-4.31),436,95.82,4.40 (4.22-4.59),18.68,8.41
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,735.0,0.077,35.0,277,2,0.72,6.69 (6.29-7.09),275,99.28,3.87 (3.62-4.11),2.61,8.99
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,107.0,0.248,70.0,11,0,0.0,NA,11,100.0,1.49 (0.81-2.16),NA,3.57
da neurons 6,729.0,0.096,21.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89),NA,8.52
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,187.0,0.316,92.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,187.0,0.163,78.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,528.0,0.231,65.0,175,10,5.71,4.29 (3.37-5.21),165,94.29,4.39 (4.01-4.76),3.66,4.68
