tipo_celular,module_size,UFD1_MM,UFD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.115,59.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,408.0,0.073,8.0,25,6,24.0,1.31 (0.53-2.09),19,76.0,6.03 (4.79-7.27),2.01,2.36
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.104,18.0,141,10,7.09,2.62 (1.78-3.46),131,92.91,2.99 (2.74-3.24),3.54,7.07
oligodendrocytes 20,676.0,0.029,7.0,110,7,6.36,2.25 (1.15-3.34),103,93.64,5.26 (4.83-5.69),3.00,3.56
GABA like neurons 14,2090.0,0.076,4.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,1266.0,0.051,16.0,66,21,31.82,2.13 (1.57-2.69),45,68.18,3.86 (3.39-4.33),3.70,2.60
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.045,4.0,358,67,18.72,2.52 (2.17-2.87),291,81.28,4.28 (4.08-4.48),22.64,6.44
connective tissue cells 21,90.0,0.32,67.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA,1.41,NA
astrocytes 15,418.0,0.047,24.0,54,5,9.26,2.90 (2.03-3.76),49,90.74,3.77 (3.30-4.25),2.42,3.07
oligodendrocytes 16,82.0,0.243,72.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,101.0,0.346,66.0,6,1,16.67,3.65 (NA-NA),5,83.33,4.57 (2.52-6.62),1.61,3.19
astrocytes 4,1807.0,0.157,72.0,104,32,30.77,2.41 (1.98-2.84),72,69.23,3.09 (2.74-3.44),10.01,3.35
oligodendrocytes 0,2078.0,0.101,24.0,238,14,5.88,2.96 (2.26-3.66),224,94.12,3.68 (3.45-3.90),7.43,4.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.064,19.0,87,33,37.93,2.19 (1.82-2.55),54,62.07,2.86 (2.49-3.23),5.75,3.32
oligodendrocytes 2,1630.0,0.125,20.0,154,2,1.3,NA,152,98.7,3.24 (2.98-3.51),1.94,3.61
