tipo_celular,module_size,NRP2_MM,NRP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.237,85.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.249,78.0,58,22,37.93,4.12 (3.42-4.82),36,62.07,4.22 (3.69-4.75),2.04,2.49
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,848.0,0.158,27.0,262,28,10.69,4.74 (3.72-5.76),234,89.31,4.08 (3.83-4.32),5.70,3.91
GLU like neurons 17,685.0,0.293,92.0,135,8,5.93,1.75 (0.90-2.60),127,94.07,3.30 (2.98-3.61),2.91,3.80
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.159,51.0,155,6,3.87,6.52 (4.43-8.61),149,96.13,4.27 (3.91-4.64),2.22,4.42
oligodendrocytes 20,348.0,0.205,76.0,33,6,18.18,3.71 (3.19-4.24),27,81.82,2.49 (1.93-3.04),3.31,3.40
GABA like neurons 14,2090.0,0.184,71.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,577.0,0.095,58.0,83,2,2.41,1.70 (0.08-3.32),81,97.59,3.30 (2.84-3.75),2.86,4.51
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.097,27.0,358,18,5.03,2.13 (1.51-2.75),340,94.97,3.99 (3.79-4.18),9.84,9.45
connective tissue cells 21,92.0,0.182,7.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.141,89.0,105,9,8.57,1.71 (1.04-2.38),96,91.43,3.37 (3.02-3.71),5.62,3.82
oligodendrocytes 16,108.0,0.195,60.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00),NA,2.53
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,141.0,0.165,5.0,30,17,56.67,5.70 (4.56-6.83),13,43.33,5.59 (4.10-7.07),3.20,5.15
astrocytes 4,171.0,0.157,40.0,22,3,13.64,5.52 (2.50-8.55),19,86.36,4.33 (3.39-5.27),1.93,2.03
oligodendrocytes 0,1186.0,0.143,46.0,300,4,1.33,4.10 (3.82-4.37),296,98.67,3.79 (3.58-4.00),8.11,4.10
microglia 1,346.0,0.243,85.0,43,2,4.65,NA,41,95.35,3.77 (3.26-4.27),1.84,4.61
oligodendrocytes 3,1003.0,0.124,73.0,111,1,0.9,NA,110,99.1,3.30 (2.96-3.64),1.56,4.26
oligodendrocytes 2,348.0,0.219,59.0,114,47,41.23,5.09 (4.52-5.67),67,58.77,5.13 (4.55-5.71),6.41,2.98
