tipo_celular,module_size,NDUFB4_MM,NDUFB4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.154,60.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70),1.97,17.26
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,67.0,0.207,72.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08),NA,23.87
endothelial cells 9,916.0,0.359,80.0,302,68,22.52,3.94 (3.61-4.27),234,77.48,4.00 (3.71-4.29),18.08,8.49
oligodendrocytes 20,221.0,0.212,55.0,12,1,8.33,NA,11,91.67,2.42 (0.83-4.00),1.81,4.45
GABA like neurons 14,2402.0,0.457,85.0,455,85,18.68,3.46 (3.14-3.79),370,81.32,4.63 (4.41-4.84),17.18,6.92
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.23,87.0,235,52,22.13,4.00 (3.71-4.29),183,77.87,3.76 (3.47-4.06),6.53,7.92
oligodendrocytes 10,735.0,0.138,72.0,277,20,7.22,3.97 (3.88-4.06),257,92.78,3.89 (3.62-4.15),4.51,9.29
connective tissue cells 21,103.0,0.338,82.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,65.0,0.134,18.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.255,89.0,182,24,13.19,4.24 (3.54-4.95),158,86.81,3.53 (3.27-3.80),13.50,7.76
astrocytes microglia 23,131.0,0.34,77.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.134,29.0,252,72,28.57,3.40 (3.04-3.76),180,71.43,4.48 (4.16-4.79),7.56,8.47
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.17,63.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.251,47.0,213,61,28.64,4.16 (3.88-4.44),152,71.36,3.89 (3.50-4.28),8.82,7.58
