tipo_celular,module_size,POM121_MM,POM121_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.213,76.0,97,1,1.03,5.72 (NA-NA),96,98.97,3.02 (2.63-3.41),1.66,4.94
T cells 18,282.0,0.18,54.0,12,1,8.33,6.08 (NA-NA),11,91.67,3.05 (1.95-4.15),2.69,5.62
astrocytes 5,1656.0,0.064,1.0,136,3,2.21,4.36 (3.99-4.72),133,97.79,3.19 (2.92-3.46),2.10,5.05
oligodendrocyte progenitor cells 7,4285.0,0.151,74.0,353,48,13.6,3.11 (2.55-3.66),305,86.4,4.04 (3.84-4.23),21.03,6.02
GABA neurons expressing GLU receptors 22,1069.0,0.132,24.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247.0,0.107,29.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,109.0,0.217,49.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.074,10.0,297,9,3.03,5.04 (4.38-5.69),288,96.97,3.63 (3.42-3.84),3.09,5.59
oligodendrocytes 20,403.0,0.068,30.0,18,8,44.44,1.19 (0.46-1.92),10,55.56,2.43 (1.46-3.40),4.61,3.13
GABA like neurons 14,3052.0,0.134,45.0,125,4,3.2,5.30 (4.42-6.19),121,96.8,3.27 (2.95-3.60),1.77,8.84
astrocytes 8,283.0,0.1,27.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.111,83.0,276,32,11.59,2.84 (2.38-3.31),244,88.41,3.64 (3.40-3.88),12.10,4.19
oligodendrocytes 10,2107.0,0.098,28.0,358,45,12.57,3.22 (2.62-3.82),313,87.43,3.97 (3.77-4.17),22.01,7.67
connective tissue cells 21,114.0,0.368,90.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10),2.82,1.99
astrocytes 15,1401.0,0.084,49.0,96,3,3.12,2.86 (1.17-4.54),93,96.88,3.63 (3.17-4.09),3.15,3.82
oligodendrocytes 16,75.0,0.19,53.0,1,0,0.0,NA,1,100.0,NA,NA,1.70
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,100.0,0.264,33.0,9,0,0.0,NA,9,100.0,3.95 (2.94-4.96),NA,1.72
astrocytes 4,787.0,0.148,42.0,65,2,3.08,NA,63,96.92,2.96 (2.57-3.36),2.29,5.86
oligodendrocytes 0,2078.0,0.135,88.0,238,19,7.98,4.47 (3.59-5.35),219,92.02,3.57 (3.34-3.79),5.43,4.99
microglia 1,813.0,0.095,22.0,79,2,2.53,1.99 (1.51-2.47),77,97.47,3.13 (2.72-3.54),6.65,7.93
oligodendrocytes 3,94.0,0.053,16.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,921.0,0.125,30.0,200,28,14.0,4.28 (3.69-4.88),172,86.0,3.52 (3.23-3.81),4.16,3.35
