tipo_celular,module_size,JADE3_MM,JADE3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.155,79.0,353,52,14.73,1.96 (1.69-2.23),301,85.27,4.35 (4.17-4.52),23.00,5.48
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.122,46.0,297,6,2.02,3.39 (2.73-4.05),291,97.98,3.68 (3.47-3.89),5.26,5.52
oligodendrocytes 20,358.0,0.47,99.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,3052.0,0.133,44.0,125,3,2.4,3.76 (3.19-4.34),122,97.6,3.34 (3.01-3.67),4.90,8.70
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.099,73.0,276,42,15.22,2.03 (1.78-2.29),234,84.78,3.92 (3.69-4.15),10.66,4.11
oligodendrocytes 10,2107.0,0.088,22.0,358,59,16.48,2.00 (1.72-2.28),299,83.52,4.39 (4.22-4.57),25.63,6.28
connective tissue cells 21,106.0,0.346,79.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09),1.92,2.32
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,51.0,0.098,0.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA),NA,21.90
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,108.0,0.403,90.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80),NA,3.04
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,117.0,0.141,43.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88),NA,2.12
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.095,26.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,347.0,0.155,27.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
