tipo_celular,module_size,DNM3_MM,DNM3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.586,96.0,15,1,6.67,4.26 (NA-NA),14,93.33,5.94 (5.25-6.64),4.48,2.18
T cells 18,349,0.59,95.0,68,21,30.88,3.85 (3.05-4.64),47,69.12,4.60 (3.89-5.32),3.06,3.43
astrocytes 5,165,0.446,90.0,51,1,1.96,6.49 (NA-NA),50,98.04,5.32 (4.64-6.00),2.89,2.95
oligodendrocyte progenitor cells 7,666,0.118,15.0,127,8,6.3,2.90 (1.87-3.93),119,93.7,3.88 (3.53-4.23),4.07,5.96
GABA neurons expressing GLU receptors 22,459,0.219,73.0,165,17,10.3,4.91 (3.39-6.43),148,89.7,5.08 (4.73-5.43),8.12,3.63
GLU like neurons 17,637,0.323,84.0,91,19,20.88,1.74 (1.13-2.36),72,79.12,5.34 (4.89-5.80),3.30,3.00
da like neurons 11,142,0.43,89.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,357,0.169,54.0,237,2,0.84,7.38 (5.63-9.14),235,99.16,4.37 (4.14-4.60),6.09,4.17
endothelial cells 9,450,0.341,74.0,74,17,22.97,5.03 (3.92-6.14),57,77.03,5.58 (4.94-6.21),3.77,3.60
oligodendrocytes 20,676,0.211,44.0,110,25,22.73,4.87 (4.17-5.57),85,77.27,5.03 (4.48-5.59),3.74,3.46
GABA like neurons 14,1300,0.169,31.0,306,41,13.4,3.94 (3.20-4.68),265,86.6,5.30 (5.03-5.57),14.37,5.52
astrocytes 8,771,0.737,98.0,48,1,2.08,6.20 (NA-NA),47,97.92,4.38 (3.62-5.15),1.99,3.17
oligodendrocyte progenitor cells 12,708,0.177,73.0,25,2,8.0,0.21 (NA-NA),23,92.0,3.00 (2.02-3.99),1.61,2.62
oligodendrocytes 10,204,0.495,75.0,92,4,4.35,4.61 (2.23-7.00),88,95.65,5.78 (5.31-6.26),6.86,3.58
connective tissue cells 21,250,0.521,79.0,117,24,20.51,4.23 (3.32-5.14),93,79.49,5.72 (5.32-6.13),4.22,3.61
astrocytes 15,458,0.473,97.0,36,2,5.56,NA,34,94.44,3.77 (2.68-4.85),1.85,2.62
oligodendrocytes 16,199,0.19,69.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,300,0.236,73.0,159,6,3.77,6.44 (5.99-6.89),153,96.23,4.31 (4.00-4.62),2.05,3.79
astrocytes microglia 23,54,0.27,27.0,29,5,17.24,5.98 (4.36-7.60),24,82.76,7.00 (6.35-7.64),2.72,2.87
astrocytes 4,102,0.369,85.0,42,1,2.38,6.20 (NA-NA),41,97.62,5.66 (4.92-6.40),1.42,3.21
oligodendrocytes 0,479,0.176,68.0,40,5,12.5,4.32 (3.79-4.85),35,87.5,6.15 (5.61-6.69),2.20,3.65
microglia 1,127,0.316,77.0,24,5,20.83,5.21 (3.01-7.41),19,79.17,5.15 (4.51-5.79),2.07,2.58
oligodendrocytes 3,854,0.175,97.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,237,0.265,70.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
