tipo_celular,module_size,ATP1B1_MM,ATP1B1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.376,90.0,140,22,15.71,3.79 (3.44-4.14),118,84.29,4.72 (4.19-5.25),3.19,3.64
T cells 18,282,0.513,97.0,241,36,14.94,4.13 (3.80-4.45),205,85.06,4.04 (3.73-4.34),5.50,4.13
astrocytes 5,228,0.587,100.0,266,87,32.71,3.58 (3.32-3.83),179,67.29,4.48 (4.19-4.77),6.24,4.37
oligodendrocyte progenitor cells 7,296,0.533,99.0,251,28,11.16,3.74 (3.47-4.02),223,88.84,4.13 (3.85-4.41),6.41,6.12
GABA neurons expressing GLU receptors 22,848,0.505,99.0,262,45,17.18,3.79 (3.33-4.26),217,82.82,4.25 (3.97-4.54),5.99,3.71
GLU like neurons 17,1316,0.261,100.0,101,3,2.97,4.61 (4.04-5.18),98,97.03,2.99 (2.64-3.35),2.73,3.06
da like neurons 11,1220,0.606,100.0,410,63,15.37,3.73 (3.42-4.04),347,84.63,4.37 (4.16-4.59),11.69,6.76
GABA neurons expressing GABA receptors 13,357,0.46,99.0,237,23,9.7,4.42 (3.97-4.87),214,90.3,4.41 (4.15-4.66),4.29,4.17
endothelial cells 9,338,0.57,100.0,191,24,12.57,4.06 (3.54-4.58),167,87.43,3.85 (3.61-4.10),3.36,9.99
oligodendrocytes 20,271,0.08,10.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402,0.647,97.0,455,56,12.31,3.48 (3.06-3.91),399,87.69,4.50 (4.29-4.70),13.90,8.12
astrocytes 8,520,0.572,100.0,288,63,21.88,3.80 (3.49-4.10),225,78.12,4.30 (4.06-4.55),7.45,3.91
oligodendrocyte progenitor cells 12,708,0.213,78.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,806,0.705,100.0,261,39,14.94,4.00 (3.59-4.42),222,85.06,4.44 (4.16-4.72),5.28,6.20
connective tissue cells 21,101,0.604,98.0,116,31,26.72,3.36 (2.99-3.74),85,73.28,5.23 (4.71-5.75),3.25,3.21
astrocytes 15,261,0.249,88.0,8,4,50.0,4.66 (1.59-7.73),4,50.0,2.36 (0.30-4.43),1.66,2.00
oligodendrocytes 16,313,0.522,96.0,291,64,21.99,3.73 (3.45-4.00),227,78.01,4.56 (4.27-4.84),4.89,3.51
da neurons 6,300,0.408,97.0,159,7,4.4,4.94 (4.04-5.83),152,95.6,4.33 (4.01-4.65),2.39,3.79
astrocytes microglia 23,70,0.464,83.0,76,1,1.32,5.16 (NA-NA),75,98.68,4.18 (3.65-4.70),1.93,4.57
astrocytes 4,157,0.498,97.0,178,60,33.71,3.60 (3.28-3.93),118,66.29,4.53 (4.15-4.91),5.53,3.98
oligodendrocytes 0,546,0.246,79.0,252,46,18.25,3.29 (2.82-3.76),206,81.75,4.30 (4.02-4.58),10.62,7.67
microglia 1,214,0.517,97.0,227,56,24.67,3.95 (3.66-4.24),171,75.33,4.15 (3.84-4.46),7.71,5.60
oligodendrocytes 3,127,0.417,85.0,45,7,15.56,2.62 (1.66-3.59),38,84.44,4.94 (3.97-5.91),2.07,6.63
oligodendrocytes 2,528,0.497,98.0,175,20,11.43,3.76 (3.00-4.53),155,88.57,4.48 (4.09-4.86),9.18,4.03
